"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"amazonia";"39(7.8%)";"148(29.4%)";"234(46.5%)";"82(16.3%)";"0(0%)"
"caatinga";"30(2.7%)";"342(31.2%)";"630(57.5%)";"93(8.5%)";"1(0.1%)"
"cerrado";"23(2.2%)";"284(26.7%)";"532(50%)";"211(19.8%)";"13(1.2%)"
"mata atlantica";"129(4.7%)";"822(30%)";"1246(45.5%)";"517(18.9%)";"25(0.9%)"
"pampa";"23(14.4%)";"78(48.8%)";"55(34.4%)";"4(2.5%)";"0(0%)"
"pantanal";"0(0%)";"1(11.1%)";"4(44.4%)";"4(44.4%)";"0(0%)"
