"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"amazonia";"16(3.2%)";"155(30.8%)";"259(51.5%)";"72(14.3%)";"1(0.2%)"
"caatinga";"17(1.6%)";"272(24.8%)";"698(63.7%)";"108(9.9%)";"1(0.1%)"
"cerrado";"6(0.6%)";"264(24.8%)";"653(61.4%)";"137(12.9%)";"3(0.3%)"
"mata atlantica";"193(7%)";"946(34.5%)";"1270(46.4%)";"322(11.8%)";"8(0.3%)"
"pampa";"54(33.8%)";"84(52.5%)";"21(13.1%)";"1(0.6%)";"0(0%)"
"pantanal";"0(0%)";"1(11.1%)";"6(66.7%)";"2(22.2%)";"0(0%)"
