"Variable";"0";"1"
"Amazonia";"447(88.9%)";"56(11.1%)"
"Caatinga";"1024(93.5%)";"71(6.5%)"
"Cerrado";"876(82.5%)";"186(17.5%)"
"Mata Atlantica";"2302(84%)";"439(16%)"
"Pampa";"159(99.4%)";"1(0.6%)"
"Pantanal";"4(44.4%)";"5(55.6%)"
