"Variable";"0";"1"
"1";"401(89.1%)";"49(10.9%)"
"2";"1677(93.5%)";"117(6.5%)"
"3";"1315(78.8%)";"353(21.2%)"
"4";"1078(90.5%)";"113(9.5%)"
"5";"341(73%)";"126(27%)"
