muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1200302;1;Feij√≥;12;AC;n„o metropolitana;amazonia;251,14;Af;35035;51,27;10,3
1200328;1;Jord√£o;12;AC;n„o metropolitana;amazonia;330,41;Af;11105;38,3;5,29
1200336;1;M√¢ncio Lima;12;AC;n„o metropolitana;amazonia;257,6;Af;19172;50,9;6,75
1200344;1;Manoel Urbano;12;AC;n„o metropolitana;amazonia;233,58;Af;12246;52,96;12,92
1200351;1;Marechal Thaumaturgo;12;AC;n„o metropolitana;amazonia;282,43;Af;16825;32,58;8,36
1200385;1;Pl√°cido De Castro;12;AC;n„o metropolitana;amazonia;179,76;Am;16313;55,38;14,63
1200393;1;Porto Walter;12;AC;n„o metropolitana;amazonia;244,35;Af;10706;20,57;0,71
1200401;1;Rio Branco;12;AC;metropolitana;amazonia;209,03;Am;364368;92,98;57,97
1200427;1;Rodrigues Alves;12;AC;n„o metropolitana;amazonia;250,56;Af;16072;38,52;9,23
1200435;1;Santa Rosa Do Purus;12;AC;n„o metropolitana;amazonia;251,66;Af;7672;47,19;4,78
1200450;1;Senador Guiomard;12;AC;n„o metropolitana;amazonia;177,03;Am;21658;64,22;24,13
1200500;1;Sena Madureira;12;AC;n„o metropolitana;amazonia;231,54;Am;39746;63,33;13,29
1200609;1;Tarauac√°;12;AC;n„o metropolitana;amazonia;252,67;Af;43072;49,22;10,93
1200708;1;Xapuri;12;AC;n„o metropolitana;amazonia;227,59;Am;18181;64,17;29,33
1200807;1;Porto Acre;12;AC;n„o metropolitana;amazonia;172,78;Am;16218;51,12;11,96
1300029;1;Alvar√£es;13;AM;n„o metropolitana;amazonia;78,54;Af;15916;49,29;31,36
1300060;1;Amatur√°;13;AM;n„o metropolitana;amazonia;83,74;Af;10814;42,25;7,69
1300086;1;Anam√£;13;AM;n„o metropolitana;amazonia;40,78;Af;9927;41,91;4,62
1300102;1;Anori;13;AM;n„o metropolitana;amazonia;35,18;Af;17052;51,63;2,16
1300144;1;Apu√≠;13;AM;n„o metropolitana;amazonia;154,7;Am;21403;53,56;9,53
1300201;1;Atalaia Do Norte;13;AM;n„o metropolitana;amazonia;157,3;Af;15440;26,65;0,97
1300300;1;Autazes;13;AM;metropolitana;amazonia;30,93;Af;41672;46,8;20,38
1300409;1;Barcelos;13;AM;n„o metropolitana;amazonia;91,99;Af;18399;50,22;15,48
1300508;1;Barreirinha;13;AM;n„o metropolitana;amazonia;35,36;Af;30990;30,08;4,15
1300607;1;Benjamin Constant;13;AM;n„o metropolitana;amazonia;139,73;Af;37436;53,4;14,6
1300631;1;Beruri;13;AM;n„o metropolitana;amazonia;47,19;Af;20807;39,61;27,69
