"";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm";"xpmp";"tpmp";"dc3mp";"dcmaxmp";"dcimp";"ds3mp";"dsmaxmp";"stmp";"incmp";"cluster_4";"class_cluster"
"2805604";16;30,8333333333333;0,666666666666667;2,33333333333333;0,5;3,5;13,8333333333333;0,175;272,026666666667;-0,124263338535079;1,27242630684226;0,427505236839521;-0,283282897363773;-0,124132993438913;1,09595446972275;-0,698957970795781;-0,170842009867225;-0,496597968299058;4;"Episódico/Epidêmico"
"2805703";24,8333333333333;24,5;1,16666666666667;10,5;2,33333333333333;2,16666666666667;18,1666666666667;1,33333333333333;1205;-0,0516850555089949;0,370367185336453;1,33474031266967;0,934336573761215;2,67920377505653;-0,274858021109144;-0,374532624557934;-0,06437201850685;0,210218199397116;1;"Epidêmico"
"2805802";10,8333333333333;21,5;0,166666666666667;0,833333333333333;0;2,16666666666667;27,3333333333333;0,21;219,013333333333;-0,166714787097505;-0,0569239774820886;-0,47972983899063;-0,506927290019383;-0,888679384846761;-0,274858021109144;0,311751761714434;-0,167624930991588;-0,536760617931916;2;"Episódico"
"2805901";0,666666666666667;17,1666666666667;0;0;0;1,83333333333333;40,8333333333333;0,00333333333333333;8,175;-0,250248282655828;-0,674122323775537;-0,782141530934013;-0,631174174828055;-0,888679384846761;-0,617561143817116;1,32246149422465;-0,186621015781065;-0,696490738232012;2;"Episódico"
"2806008";5;29;0,333333333333333;1,33333333333333;0,333333333333333;2;36,6666666666667;0,0833333333333333;135,9;-0,214643841926051;1,01130392956426;-0,177318147047246;-0,432379159134179;-0,378981790574862;-0,44620958246313;1,01051404591903;-0,179267692636751;-0,599726884653853;4;"Episódico/Epidêmico"
"2806107";1,16666666666667;30,8333333333333;0;0;0;2,5;38,5;0,00333333333333333;28,04;-0,246140077956238;1,27242630684226;-0,782141530934013;-0,631174174828055;-0,888679384846761;0,0678451015988291;1,1477709231735;-0,186621015781065;-0,681441108548473;4;"Episódico/Epidêmico"
"2806206";1,83333333333333;22,1666666666667;0;0;0;2,16666666666667;34,8333333333333;0,0683333333333333;54,5416666666667;-0,240662471690119;0,0380296142553652;-0,782141530934013;-0,631174174828055;-0,888679384846761;-0,274858021109144;0,873257168664553;-0,18064644072631;-0,661363571708304;2;"Episódico"
"2806305";1,16666666666667;23,8333333333333;0;0;0;2,16666666666667;38;0,0116666666666667;20,1883333333333;-0,246140077956238;0,275413593598999;-0,782141530934013;-0,631174174828055;-0,888679384846761;-0,274858021109144;1,11033722937683;-0,185855044620199;-0,687389493936438;2;"Episódico"
"2806404";1,33333333333333;22,1666666666667;0;0;0;1,83333333333333;42,1666666666667;0,00666666666666667;25,8016666666667;-0,244770676389708;0,0380296142553652;-0,782141530934013;-0,631174174828055;-0,888679384846761;-0,617561143817116;1,42228467768245;-0,186314627316719;-0,683136859254488;2;"Episódico"
"2806503";2;15;0;0,166666666666667;0,166666666666667;1,83333333333333;43,1666666666667;0,0233333333333333;110,04;-0,239293070123589;-0,982721496922262;-0,782141530934013;-0,60632479786632;-0,633830587710812;-0,617561143817116;1,4971520652758;-0,184782684994987;-0,619318297873906;2;"Episódico"
"2806602";3,16666666666667;15,8333333333333;0;0,166666666666667;0,166666666666667;2,66666666666667;29,3333333333333;0,0566666666666667;163,291666666667;-0,22970725915788;-0,864029507250444;-0,782141530934013;-0,60632479786632;-0,633830587710812;0,239196662952815;0,461486536901132;-0,181718800351523;-0,57897508803929;2;"Episódico"
"2806701";37;33,6666666666667;1,5;15,6666666666667;2,33333333333333;1,33333333333333;13;1,27166666666667;562,39;0,0482812588476866;1,67597907172644;1,93956369655644;1,70466725957498;2,67920377505653;-1,13161582787908;-0,761347460456905;-0,0700402050972585;-0,276620085573414;1;"Epidêmico"
"2806800";4,5;20;0,166666666666667;0,5;0,166666666666667;2,16666666666667;32,8333333333333;0,0566666666666667;217,071666666667;-0,218752046625641;-0,270569558891359;-0,47972983899063;-0,556626043942852;-0,633830587710812;-0,274858021109144;0,723522393477855;-0,181718800351523;-0,5382316153798;2;"Episódico"
"2806909";0,833333333333333;14,6666666666667;0;0;0;1,33333333333333;43,3333333333333;0,00666666666666667;50,2133333333333;-0,248878881089298;-1,03019829279099;-0,782141530934013;-0,631174174828055;-0,888679384846761;-1,13161582787908;1,50962996320802;-0,186314627316719;-0,664642696491268;2;"Episódico"
