"";"municipio_geocodigo";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm"
"1";1300086;0;1;0;0;0;1;52;0;0
"2";1300508;0;1;0;0;0;1;52;0;0
"3";1300904;0;1;0;0;0;1;52;0;0
"4";1301951;0;1;0;0;0;1;52;0;0
"5";1302553;0;1;0;0;0;1;52;0;0
"6";1303007;0;1;0;0;0;1;52;0;0
"7";1304005;0;1;0;0;0;1;52;0;0
"8";1501006;0;1;0;0;0;1;52;0;0
"9";1502004;0;1;0;0;0;1;52;0;0
"10";1506401;0;1;0;0;0;1;52;0;0
"11";1600212;0;1;0;0;0;1;52;0;0
"12";1600253;0;1;0;0;0;1;52;0;0
"13";1600550;0;1;0;0;0;1;52;0;0
"14";2101350;0;1;0;0;0;1;52;0;0
"15";2102408;0;1;0;0;0;1;52;0;0
"16";2103109;0;1;0;0;0;1;52;0;0
"17";2104909;0;1;0;0;0;1;52;0;0
"18";2106201;0;1;0;0;0;1;52;0;0
"19";2106359;0;1;0;0;0;1;52;0;0
"20";2109239;0;1;0;0;0;1;52;0;0
"21";2110278;0;1;0;0;0;1;52;0;0
"22";2110302;0;1;0;0;0;1;52;0;0
"23";2111789;0;1;0;0;0;1;52;0;0
"24";2201919;0;1;0;0;0;1;52;0;0
"25";2201988;0;1;0;0;0;1;52;0;0
"26";2202251;0;1;0;0;0;1;52;0;0
"27";2203230;0;1;0;0;0;1;52;0;0
"28";2203859;0;1;0;0;0;1;52;0;0
"29";2204006;0;1;0;0;0;1;52;0;0
"30";2208502;0;1;0;0;0;1;52;0;0
"31";2209708;0;1;0;0;0;1;52;0;0
"32";2210656;0;1;0;0;0;1;52;0;0
"33";2511806;0;1;0;0;0;1;52;0;0
"34";2515971;0;1;0;0;0;1;52;0;0
"35";2611533;0;1;0;0;0;1;52;0;0
"36";2800100;0;1;0;0;0;1;52;0;0
"37";2803104;0;1;0;0;0;1;52;0;0
"38";3101201;0;1;0;0;0;1;52;0;0
"39";3101409;0;1;0;0;0;1;52;0;0
"40";3106804;0;1;0;0;0;1;52;0;0
"41";3107208;0;1;0;0;0;1;52;0;0
"42";3113107;0;1;0;0;0;1;52;0;0
"43";3117836;0;1;0;0;0;1;52;0;0
"44";3118502;0;1;0;0;0;1;52;0;0
"45";3124401;0;1;0;0;0;1;52;0;0
"46";3132800;0;1;0;0;0;1;52;0;0
"47";3152131;0;1;0;0;0;1;52;0;0
"48";3154408;0;1;0;0;0;1;52;0;0
"49";3158706;0;1;0;0;0;1;52;0;0
"50";3159407;0;1;0;0;0;1;52;0;0
"51";3160504;0;1;0;0;0;1;52;0;0
"52";3160801;0;1;0;0;0;1;52;0;0
"53";3164803;0;1;0;0;0;1;52;0;0
"54";4100301;0;1;0;0;0;1;52;0;0
"55";4127882;0;1;0;0;0;1;52;0;0
"56";4128633;0;1;0;0;0;1;52;0;0
"57";4200051;0;1;0;0;0;1;52;0;0
"58";4201000;0;1;0;0;0;1;52;0;0
"59";4202131;0;1;0;0;0;1;52;0;0
"60";4202438;0;1;0;0;0;1;52;0;0
"61";4202875;0;1;0;0;0;1;52;0;0
"62";4203154;0;1;0;0;0;1;52;0;0
"63";4203253;0;1;0;0;0;1;52;0;0
"64";4204152;0;1;0;0;0;1;52;0;0
"65";4204178;0;1;0;0;0;1;52;0;0
