"";"municipio_geocodigo";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm"
"66";4205159;0;1;0;0;0;1;52;0;0
"67";4205555;0;1;0;0;0;1;52;0;0
"68";4207577;0;1;0;0;0;1;52;0;0
"69";4209201;0;1;0;0;0;1;52;0;0
"70";4209706;0;1;0;0;0;1;52;0;0
"71";4209805;0;1;0;0;0;1;52;0;0
"72";4210308;0;1;0;0;0;1;52;0;0
"73";4210704;0;1;0;0;0;1;52;0;0
"74";4210852;0;1;0;0;0;1;52;0;0
"75";4211058;0;1;0;0;0;1;52;0;0
"76";4211256;0;1;0;0;0;1;52;0;0
"77";4211892;0;1;0;0;0;1;52;0;0
"78";4212056;0;1;0;0;0;1;52;0;0
"79";4213302;0;1;0;0;0;1;52;0;0
"80";4213351;0;1;0;0;0;1;52;0;0
"81";4214300;0;1;0;0;0;1;52;0;0
"82";4214409;0;1;0;0;0;1;52;0;0
"83";4215059;0;1;0;0;0;1;52;0;0
"84";4216057;0;1;0;0;0;1;52;0;0
"85";4216800;0;1;0;0;0;1;52;0;0
"86";4218103;0;1;0;0;0;1;52;0;0
"87";4218251;0;1;0;0;0;1;52;0;0
"88";4218350;0;1;0;0;0;1;52;0;0
"89";4218954;0;1;0;0;0;1;52;0;0
"90";4300638;0;1;0;0;0;1;52;0;0
"91";4300661;0;1;0;0;0;1;52;0;0
"92";4300851;0;1;0;0;0;1;52;0;0
"93";4301651;0;1;0;0;0;1;52;0;0
"94";4301750;0;1;0;0;0;1;52;0;0
"95";4301875;0;1;0;0;0;1;52;0;0
"96";4301925;0;1;0;0;0;1;52;0;0
"97";4302238;0;1;0;0;0;1;52;0;0
"98";4302659;0;1;0;0;0;1;52;0;0
"99";4303673;0;1;0;0;0;1;52;0;0
"100";4304101;0;1;0;0;0;1;52;0;0
"101";4304358;0;1;0;0;0;1;52;0;0
"102";4304655;0;1;0;0;0;1;52;0;0
"103";4304671;0;1;0;0;0;1;52;0;0
"104";4304853;0;1;0;0;0;1;52;0;0
"105";4305124;0;1;0;0;0;1;52;0;0
"106";4305173;0;1;0;0;0;1;52;0;0
"107";4305439;0;1;0;0;0;1;52;0;0
"108";4305504;0;1;0;0;0;1;52;0;0
"109";4305850;0;1;0;0;0;1;52;0;0
"110";4305871;0;1;0;0;0;1;52;0;0
"111";4306502;0;1;0;0;0;1;52;0;0
"112";4306700;0;1;0;0;0;1;52;0;0
"113";4307401;0;1;0;0;0;1;52;0;0
"114";4308656;0;1;0;0;0;1;52;0;0
"115";4309555;0;1;0;0;0;1;52;0;0
"116";4310652;0;1;0;0;0;1;52;0;0
"117";4310751;0;1;0;0;0;1;52;0;0
"118";4310876;0;1;0;0;0;1;52;0;0
"119";4311122;0;1;0;0;0;1;52;0;0
"120";4311130;0;1;0;0;0;1;52;0;0
"121";4311734;0;1;0;0;0;1;52;0;0
"122";4312377;0;1;0;0;0;1;52;0;0
"123";4312617;0;1;0;0;0;1;52;0;0
"124";4312625;0;1;0;0;0;1;52;0;0
"125";4313359;0;1;0;0;0;1;52;0;0
"126";4314175;0;1;0;0;0;1;52;0;0
"127";4314548;0;1;0;0;0;1;52;0;0
"128";4315172;0;1;0;0;0;1;52;0;0
"129";4315750;0;1;0;0;0;1;52;0;0
"130";4316972;0;1;0;0;0;1;52;0;0
"131";4317251;0;1;0;0;0;1;52;0;0
"132";4317558;0;1;0;0;0;1;52;0;0
"133";4317954;0;1;0;0;0;1;52;0;0
"134";4318465;0;1;0;0;0;1;52;0;0
"135";4318614;0;1;0;0;0;1;52;0;0
"136";4318622;0;1;0;0;0;1;52;0;0
"137";4319364;0;1;0;0;0;1;52;0;0
"138";4319752;0;1;0;0;0;1;52;0;0
"139";4320263;0;1;0;0;0;1;52;0;0
"140";4320354;0;1;0;0;0;1;52;0;0
"141";4320552;0;1;0;0;0;1;52;0;0
"142";4321352;0;1;0;0;0;1;52;0;0
"143";4322186;0;1;0;0;0;1;52;0;0
"144";4323358;0;1;0;0;0;1;52;0;0
"145";4323457;0;1;0;0;0;1;52;0;0
"146";5103452;0;1;0;0;0;1;52;0;0
"147";5105309;0;1;0;0;0;1;52;0;0
"148";5107776;0;1;0;0;0;1;52;0;0
"149";5203939;0;1;0;0;0;1;52;0;0
"150";5203962;0;1;0;0;0;1;52;0;0
