region;Transmissão Persistente;Epidêmico;Episódico/Epidêmico;Episódico;Sem transmissão;Total
1;1 (0.2%);48 (10.7%);236 (52.4%);152 (33.8%);13 (2.9%);450
2;3 (0.2%);114 (6.4%);940 (52.4%);713 (39.7%);24 (1.3%);1794
3;18 (1.1%);335 (20.1%);936 (56.1%);363 (21.8%);16 (1%);1668
4;5 (0.4%);108 (9.1%);410 (34.4%);576 (48.4%);92 (7.7%);1191
5;5 (1.1%);121 (25.9%);299 (64%);37 (7.9%);5 (1.1%);467
