"";"muni_code";"dengue_pattern_10_19";"dengue_pattern_20_22";"Transition";"temp_med";"umid_med";"precip_tot";"thr_temp";"thr_umid";"thr_prec";"thr_temp_umid";"muni_name";"uf_code";"uf_acr";"tipo_regiao";"bioma";"altitude";"koppen";"pop22";"prop_esgot";"prop_abast";"prop_residuo"
"5037";4320552;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";19,4;78,4;439,6;171;359,7;8,7;167,7;"Sert茫o Santana";43;"RS";"n鉶 metropolitana";"pampa";151,93;"Cfa";6062;30,42;80,42;88,07
"5038";4320578;"Epis贸dico";"Sem transmiss茫o";"Melhorou";20,6;70;489,5;213;282,3;12;138,7;"Sete De Setembro";43;"RS";"n鉶 metropolitana";"mata atlantica";284,25;"Cfa";1824;21,79;97,72;59,83
"5039";4320602;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,6;74,2;507,8;156,3;332,7;10;129,7;"Severiano De Almeida";43;"RS";"n鉶 metropolitana";"mata atlantica";591,08;"Cfa";3827;60,65;73,71;74,11
"5040";4320651;"Sem transmiss茫o";"Epis贸dico";"Piorou";19,4;75,3;413,3;179,3;332,7;8,7;148,7;"Silveira Martins";43;"RS";"n鉶 metropolitana";"mata atlantica";375,68;"Cfa";2070;43,17;86,35;91,14
"5041";4320677;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,7;77,9;475,5;163,7;345;10;145;"Sinimbu";43;"RS";"n鉶 metropolitana";"mata atlantica";385,51;"Cfa";8578;28,2;83,6;65,53
"5042";4320701;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,8;77,3;462,3;165;343,7;8,7;145;"Sobradinho";43;"RS";"n鉶 metropolitana";"mata atlantica";450,7;"Cfa";14209;74,17;96,94;86,74
"5043";4320800;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18;75,9;489,6;141,3;337;11,3;117;"Soledade";43;"RS";"n鉶 metropolitana";"mata atlantica";626,64;"Cfb";30060;71,9;95,13;83,4
"5044";4320859;"Sem transmiss茫o";"Epis贸dico";"Piorou";19,1;78,5;492,6;168,7;356;9,7;159;"Taba铆";43;"RS";"n鉶 metropolitana";"mata atlantica";85,72;"Cfa";4552;46,12;88,93;87,63
"5045";4320909;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";17,9;75,8;541,2;134,7;337,7;12,7;112,7;"Tapejara";43;"RS";"n鉶 metropolitana";"mata atlantica";637,25;"Cfb";24539;68,74;95,81;96,97
"5046";4321006;"Epis贸dico";"Epis贸dico";"Se manteve";18;75,9;489,6;141,3;337;11,3;117;"Tapera";43;"RS";"n鉶 metropolitana";"mata atlantica";398,64;"Cfa";10570;48,12;97,2;91,95
"5047";4321105;"Sem transmiss茫o";"Epis贸dico";"Piorou";19,4;78,4;439,6;171;359,7;8,7;167,7;"Tapes";43;"RS";"n鉶 metropolitana";"pampa";24,06;"Cfa";14547;83,22;98,48;93,31
"5048";4321204;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";19,2;79,9;472,5;164,7;362,3;7;161,7;"Taquara";43;"RS";"metropolitana";"mata atlantica";142,27;"Cfa";53164;83,82;96,65;97,22
"5049";4321303;"Epis贸dico";"Epis贸dico";"Se manteve";19,7;76,9;427,5;178,3;350;8,3;163,7;"Taquari";43;"RS";"n鉶 metropolitana";"pampa";44,22;"Cfa";25004;73,81;96,57;97,61
"5050";4321329;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";20,2;72,6;523,5;199;307,7;12,7;147,3;"Taquaru莽u Do Sul";43;"RS";"n鉶 metropolitana";"mata atlantica";424,24;"Cfa";3087;30,31;94,75;86,22
