"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"Af";"2(1%)";"75(4.2%)";"105(3.5%)";"38(6.6%)";"0(0%)"
"Am";"4(1.9%)";"101(5.7%)";"230(7.7%)";"58(10.1%)";"3(21.4%)"
"As";"7(3.4%)";"264(14.8%)";"552(18.4%)";"68(11.8%)";"1(7.1%)"
"Aw";"8(3.8%)";"295(16.6%)";"856(28.6%)";"175(30.5%)";"3(21.4%)"
"BSh";"1(0.5%)";"107(6%)";"283(9.5%)";"29(5.1%)";"0(0%)"
"Cfa";"114(54.8%)";"460(25.8%)";"459(15.3%)";"103(17.9%)";"2(14.3%)"
"Cfb";"66(31.7%)";"214(12%)";"100(3.3%)";"24(4.2%)";"1(7.1%)"
"Cwa";"3(1.4%)";"99(5.6%)";"243(8.1%)";"61(10.6%)";"1(7.1%)"
"Cwb";"3(1.4%)";"165(9.3%)";"166(5.5%)";"18(3.1%)";"3(21.4%)"
