"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"Af";"2(0.9%)";"75(34.1%)";"105(47.7%)";"38(17.3%)";"0(0%)"
"Am";"4(1%)";"101(25.5%)";"230(58.1%)";"58(14.6%)";"3(0.8%)"
"As";"7(0.8%)";"264(29.6%)";"552(61.9%)";"68(7.6%)";"1(0.1%)"
"Aw";"8(0.6%)";"295(22.1%)";"856(64%)";"175(13.1%)";"3(0.2%)"
"BSh";"1(0.2%)";"107(25.5%)";"283(67.4%)";"29(6.9%)";"0(0%)"
"Cfa";"114(10%)";"460(40.4%)";"459(40.3%)";"103(9.1%)";"2(0.2%)"
"Cfb";"66(16.3%)";"214(52.8%)";"100(24.7%)";"24(5.9%)";"1(0.2%)"
"Cwa";"3(0.7%)";"99(24.3%)";"243(59.7%)";"61(15%)";"1(0.2%)"
"Cwb";"3(0.8%)";"165(46.5%)";"166(46.8%)";"18(5.1%)";"3(0.8%)"
