"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"metropolitana";"7(3.4%)";"88(4.9%)";"197(6.6%)";"139(24.2%)";"14(100%)"
"não metropolitana";"201(96.6%)";"1692(95.1%)";"2797(93.4%)";"435(75.8%)";"0(0%)"
