"";"tipo_regiao";"Absolute_Frequency";"Relative_Frequency";"Result"
"1";"metropolitana";445;7,98922800718133;"445 (7.99%)"
"2";"nao metropolitana";5125;92,0107719928187;"5125 (92.01%)"
