"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"metropolitana";"7(4.7%)";"77(4.2%)";"205(7.3%)";"130(17.9%)";"26(81.2%)"
"não metropolitana";"143(95.3%)";"1764(95.8%)";"2616(92.7%)";"596(82.1%)";"6(18.8%)"
