"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"Af";"7(3.2%)";"73(33.2%)";"102(46.4%)";"37(16.8%)";"1(0.5%)"
"Am";"8(2%)";"117(29.5%)";"200(50.5%)";"67(16.9%)";"4(1%)"
"As";"13(1.5%)";"319(35.8%)";"497(55.7%)";"60(6.7%)";"3(0.3%)"
"Aw";"15(1.1%)";"336(25.1%)";"743(55.6%)";"235(17.6%)";"8(0.6%)"
"BSh";"1(0.2%)";"115(27.4%)";"276(65.7%)";"28(6.7%)";"0(0%)"
"Cfa";"43(3.8%)";"424(37.3%)";"497(43.7%)";"166(14.6%)";"8(0.7%)"
"Cfb";"50(12.3%)";"207(51.1%)";"117(28.9%)";"30(7.4%)";"1(0.2%)"
"Cwa";"3(0.7%)";"92(22.6%)";"231(56.8%)";"77(18.9%)";"4(1%)"
"Cwb";"10(2.8%)";"158(44.5%)";"158(44.5%)";"26(7.3%)";"3(0.8%)"
