"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"amazonia";"22(4.4%)";"182(36.2%)";"243(48.3%)";"56(11.1%)";"0(0%)"
"caatinga";"10(0.9%)";"351(32%)";"664(60.6%)";"70(6.4%)";"1(0.1%)"
"cerrado";"13(1.2%)";"271(25.5%)";"593(55.8%)";"174(16.4%)";"12(1.1%)"
"mata atlantica";"84(3.1%)";"933(34.1%)";"1283(46.8%)";"420(15.3%)";"19(0.7%)"
"pampa";"21(13.1%)";"103(64.4%)";"35(21.9%)";"1(0.6%)";"0(0%)"
"pantanal";"0(0%)";"1(11.1%)";"3(33.3%)";"5(55.6%)";"0(0%)"
