"Variable";"Piorou";"Melhorou";"Se manteve";"Source"
"Af";"38(17.3%)";"57(25.9%)";"125(56.8%)";"koppen"
"Am";"41(10.4%)";"88(22.2%)";"267(67.4%)";"koppen"
"As";"92(10.3%)";"198(22.2%)";"602(67.5%)";"koppen"
"Aw";"186(13.9%)";"162(12.1%)";"989(74%)";"koppen"
"BSh";"46(11%)";"64(15.2%)";"310(73.8%)";"koppen"
"Cfa";"362(31.8%)";"29(2.5%)";"747(65.6%)";"koppen"
"Cfb";"96(23.7%)";"33(8.1%)";"276(68.1%)";"koppen"
"Cwa";"72(17.7%)";"34(8.4%)";"301(74%)";"koppen"
"Cwb";"40(11.3%)";"39(11%)";"276(77.7%)";"koppen"
