"Variable";"Piorou";"Melhorou";"Se manteve"
"Af";"55(25%)";"55(25%)";"110(50%)"
"Am";"70(17.7%)";"62(15.7%)";"264(66.7%)"
"As";"119(13.3%)";"174(19.5%)";"599(67.2%)"
"Aw";"222(16.6%)";"211(15.8%)";"904(67.6%)"
"BSh";"47(11.2%)";"67(16%)";"306(72.9%)"
"Cfa";"436(38.3%)";"39(3.4%)";"663(58.3%)"
"Cfb";"105(25.9%)";"42(10.4%)";"258(63.7%)"
"Cwa";"66(16.2%)";"46(11.3%)";"295(72.5%)"
"Cwb";"43(12.1%)";"63(17.7%)";"249(70.1%)"
