,Melhorou,Se manteve,Piorou,p-value,global
count,759,3648,1163,,
temp_med,24.17 (2.91),23.33 (3.01),22.24 (3.01),1.34089787490101e-131,23.22 (3.05)
umid_med,73.81 (7.11),72.3 (7.04),73.25 (6.87),2.380886717065974e-25,72.71 (7.04)
precip_tot,406.61 (198.52),402.42 (160.59),438.01 (153.35),1.0297647331636102e-27,410.42 (165.45)
altitude,406.05 (305.45),464.41 (288.47),439.41 (261.52),5.887104730079759e-07,451.24 (286.21)
pop,21961.58 (42758.87),40669.1 (247083.19),32702.31 (106434.33),0.00021046144700808208,36456.47 (206498.48)
prop_esgot,35.62 (27.86),42.38 (31.57),46.15 (31.8),4.014016498292864e-12,42.25 (31.28)
prop_abast,81.78 (15.51),85.96 (14.65),87.99 (15.12),3.0492256948391478e-18,85.82 (14.98)
prop_residuo,64.74 (21.32),70.18 (22.05),73.8 (21.22),7.368405797452928e-18,70.19 (21.94)
