,No Transmission,Episodic,Episodic/Epidemic,Epidemic,Persistent Transmission,p-value,global
count,286,1722,2907,642,13,,
temp_med,19.9 (3.22),22.72 (3.62),24.24 (2.47),24.17 (2.2),23.17 (2.37),0.0,23.54 (3.09)
umid_med,78.12 (6.16),74.77 (7.7),71.96 (7.01),73.42 (6.79),74.24 (5.68),0.0,73.32 (7.35)
precip_tot,582.23 (173.38),468.77 (207.21),392.75 (179.14),431.48 (179.59),466.56 (169.4),0.0,430.62 (194.25)
altitude,453.05 (304.39),473.82 (320.85),446.03 (263.4),412.58 (271.88),493.73 (330.12),9.06413495247482e-05,451.24 (286.21)
pop,5410.54 (4632.37),10031.51 (10074.53),20373.61 (29702.39),127175.01 (226676.53),2393301.62 (2962776.65),0.0,34277.77 (203094.37)
prop_esgot,40.26 (25.92),36.21 (28.06),42.14 (32.2),58.94 (31.07),85.31 (13.42),3.0557249574498152e-59,42.25 (31.28)
prop_abast,85.18 (14.97),82.88 (16.21),86.03 (14.68),92.72 (9.53),98.33 (2.62),9.31563331482864e-46,85.82 (14.98)
prop_residuo,65.08 (23.61),62.95 (23.38),71.25 (20.05),86.5 (14.1),99.23 (0.65),5.790206789039415e-133,70.19 (21.94)
