"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"metropolitana";"9(3.1%)";"88(5.1%)";"184(6.3%)";"151(23.5%)";"13(100%)"
"não metropolitana";"277(96.9%)";"1634(94.9%)";"2723(93.7%)";"491(76.5%)";"0(0%)"
