"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"Af";"6(2.7%)";"66(30%)";"104(47.3%)";"43(19.5%)";"1(0.5%)"
"Am";"7(1.8%)";"82(20.7%)";"225(56.8%)";"79(19.9%)";"3(0.8%)"
"As";"12(1.3%)";"243(27.2%)";"542(60.8%)";"94(10.5%)";"1(0.1%)"
"Aw";"12(0.9%)";"298(22.3%)";"846(63.3%)";"179(13.4%)";"2(0.1%)"
"BSh";"5(1.2%)";"102(24.3%)";"273(65%)";"40(9.5%)";"0(0%)"
"Cfa";"160(14.1%)";"446(39.2%)";"430(37.8%)";"100(8.8%)";"2(0.2%)"
"Cfb";"74(18.3%)";"215(53.1%)";"92(22.7%)";"23(5.7%)";"1(0.2%)"
"Cwa";"4(1%)";"109(26.8%)";"231(56.8%)";"62(15.2%)";"1(0.2%)"
"Cwb";"6(1.7%)";"161(45.4%)";"164(46.2%)";"22(6.2%)";"2(0.6%)"
