,geocodigo,temp_med,umid_med,precip_tot,year,muni_code,dengue_pattern
0,2700102,25.91741089835165,71.1600499065934,174.73728908592,2010,2700102,Episódico/Epidêmico
1,2700201,25.484200225274726,80.40789884615386,424.2056685124,2010,2700201,Episódico/Epidêmico
2,2700300,25.58814203296703,77.21611529395605,277.9458697447,2010,2700300,Epidêmico
3,2700409,24.89721760989011,81.98958864560439,423.13861939506,2010,2700409,Episódico/Epidêmico
4,2700508,25.800147027472526,78.78063787362638,491.4215519405,2010,2700508,Episódico
5,2700607,25.48419879945055,80.40789972527473,424.2098886318,2010,2700607,Episódico/Epidêmico
6,2700706,25.75906548076923,74.74966659615384,237.90898922937,2010,2700706,Episódico
7,2700805,24.746717645604395,79.59273331318681,314.50699057245,2010,2700805,Episódico
8,2700904,26.15378914010989,73.47090623076923,217.427079173,2010,2700904,Episódico
9,2701001,24.89721760989011,81.98958864560439,423.13861939506,2010,2701001,Episódico/Epidêmico
10,2701100,24.80393587912088,82.44189620329671,494.92004070702,2010,2701100,Episódico/Epidêmico
11,2701209,24.76561630769231,76.8737872032967,263.3458202552,2010,2701209,Episódico/Epidêmico
12,2701308,24.196749005494503,83.10228357967033,415.528670856,2010,2701308,Episódico/Epidêmico
13,2701357,24.336871332417584,83.05337655494506,491.023221149,2010,2701357,Episódico
14,2701407,25.122892329670332,80.74550008516484,384.22212224320003,2010,2701407,Episódico/Epidêmico
15,2701506,25.573816510989012,79.97479378296704,354.55689713824,2010,2701506,Episódico
16,2701605,25.161901978021977,73.01609205494506,201.05039219805,2010,2701605,Episódico/Epidêmico
17,2701704,25.325514967032966,81.06890938461538,515.8274402694,2010,2701704,Episódico
18,2701803,25.49444327197802,73.84651060164835,227.13083029625,2010,2701803,Episódico/Epidêmico
19,2701902,23.724999423076923,82.73531237362637,358.5116718443,2010,2701902,Episódico
20,2702009,25.122892013736262,80.74550189835165,384.2222921142,2010,2702009,Episódico/Epidêmico
21,2702108,24.33687082142857,83.05337671153846,491.023510799,2010,2702108,Episódico/Epidêmico
22,2702207,25.78968302747253,78.80456773351649,492.6534897803,2010,2702207,Episódico/Epidêmico
23,2702306,25.816383785714287,79.8647638021978,421.9897418471,2010,2702306,Episódico/Epidêmico
24,2702355,25.27895437087912,76.94069747252748,263.3771502416,2010,2702355,Episódico/Epidêmico
25,2702405,25.895148019230767,71.5371020467033,191.4544818586,2010,2702405,Episódico/Epidêmico
26,2702504,25.278954796703296,76.94069541758242,263.3745306016,2010,2702504,Episódico/Epidêmico
27,2702553,24.74671607692308,79.59274284065934,314.50757081887,2010,2702553,Episódico
28,2702603,25.20133531043956,79.42928008516483,338.03930985739,2010,2702603,Episódico/Epidêmico
29,2702702,25.91500856043956,80.25145969230769,392.77184937562,2010,2702702,Episódico
30,2702801,24.80393548901099,82.4418994120879,494.92505915802,2010,2702801,Episódico/Epidêmico
31,2702900,25.57381717582418,79.97479481043956,354.55563888624,2010,2702900,Episódico/Epidêmico
32,2703007,23.36404687912088,84.79071398626374,473.82114972497,2010,2703007,Episódico/Epidêmico
33,2703106,25.27895498076923,76.94069382417582,263.3745306016,2010,2703106,Episódico/Epidêmico
34,2703205,25.664701675824176,78.51419972527472,308.99758980554,2010,2703205,Episódico/Epidêmico
35,2703304,25.695160903846155,72.67700985164835,207.62243031577,2010,2703304,Episódico/Epidêmico
36,2703403,25.759066615384615,74.74966649175825,237.91032984237,2010,2703403,Episódico/Epidêmico
37,2703502,24.336871854395604,83.05336238186813,491.02126125899997,2010,2703502,Episódico
38,2703601,25.426632684065936,80.29978247252747,550.595060269,2010,2703601,Episódico
39,2703700,25.58814301098901,77.21610946978022,277.94763898816,2010,2703700,Episódico
40,2703759,25.81638422252747,79.86476327747252,421.9890123471,2010,2703759,Episódico/Epidêmico
41,2703809,24.807638192307692,82.31899910164836,534.0427489084,2010,2703809,Episódico/Epidêmico
42,2703908,25.426632684065936,80.29978247252747,550.595060269,2010,2703908,Episódico
43,2704005,25.122891087912087,80.7455016620879,384.2207316142,2010,2704005,Episódico/Epidêmico
44,2704104,25.58814277197802,77.21611001648353,277.94763898816,2010,2704104,Episódico/Epidêmico
45,2704203,25.122891087912087,80.7455016620879,384.2207316142,2010,2704203,Episódico/Epidêmico
46,2704302,25.5771948489011,79.76822229945054,552.5006296614,2010,2704302,Epidêmico
47,2704401,25.759067076923078,74.74966421703297,237.91032984237,2010,2704401,Episódico/Epidêmico
48,2704500,25.426633049450547,80.29977936538461,550.595060269,2010,2704500,Epidêmico
49,2704609,25.202901324175826,75.11510309615385,246.95547129295,2010,2704609,Episódico/Epidêmico
50,2704708,25.325514747252747,81.06890698901098,515.8289705694,2010,2704708,Epidêmico
51,2704807,24.52926162637363,81.60092267307692,365.5491515735,2010,2704807,Episódico/Epidêmico
52,2704906,23.72499953021978,82.73531004395605,358.5104214443,2010,2704906,Episódico
53,2705002,25.402152961538462,71.97347992857142,192.01236966076,2010,2705002,Episódico/Epidêmico
54,2705101,25.626050499999998,79.5755891456044,553.9602899883,2010,2705101,Episódico/Epidêmico
55,2705200,25.5771948489011,79.76822229945054,552.5006296614,2010,2705200,Episódico/Epidêmico
56,2705309,24.76561621978022,76.87378162637363,263.3439501649,2010,2705309,Episódico
57,2705408,26.07874153021978,73.0718341510989,219.7522329659,2010,2705408,Episódico/Epidêmico
58,2705507,24.19674939010989,83.10228062362637,415.53085192599997,2010,2705507,Episódico/Epidêmico
59,2705606,24.336871604395604,83.05336416758242,491.02126125899997,2010,2705606,Episódico
60,2705705,26.07874153021978,73.0718341510989,219.7522329659,2010,2705705,Episódico/Epidêmico
61,2705804,26.16803632967033,71.12266871428571,193.4833701194,2010,2705804,Episódico
62,2705903,25.664701346153848,78.51420159615384,308.99758980554,2010,2705903,Episódico
