"municipio_geocodigo","epiyear","Xp","Tp","Dc3","Dc6","Dcmax","Dcmed","Dci","Ds3","Ds6","Dsmax","Dsmed","P","Inc"
"350420","2013/2014",13,20,1,0,4,1,4,3,1,19,2,0.115384615384615,541.442150390363
"350430","2013/2014",3,25,0,0,0,0,6,3,1,23,2,0,404.769271785052
"350440","2013/2014",6,19,0,0,1,1,2,3,3,29,7,0.0192307692307692,162.921908791764
"350450","2013/2014",3,12,0,0,0,0,11,5,1,11,2,0,21.5487721998156
"350460","2013/2014",3,12,0,0,0,0,8,5,0,4,1.5,0,251.586904654076
"350470","2013/2014",1,19,0,0,0,0,3,2,2,31,8,0,76.6212014793786
"350480","2013/2014",4,19,0,0,0,0,5,5,2,17,3.5,0,288.328890111206
"350490","2013/2014",3,51,0,0,0,0,3,4,4,15,8,0,95.8095306530617
"350500","2013/2014",2,17,0,0,0,0,4,3,2,29,3,0,182.727560235672
"350510","2013/2014",12,26,0,0,2,2,4,4,2,10,2,0.0384615384615385,721.568673763273
"350520","2013/2014",53,14,1,0,5,2,4,3,3,10,2,0.211538461538462,774.411914029447
"350530","2013/2014",20,16,1,1,12,2,0,3,2,7,3,0.288461538461538,462.540739032725
"350535","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"350540","2013/2014",1,7,0,0,0,0,1,2,2,32,25.5,0,12.8971452664997
"350550","2013/2014",14,19,4,3,11,2.5,1,0,0,1,1,0.653846153846154,260.015630389432
"350560","2013/2014",5,9,0,0,1,1,8,4,1,6,1,0.0192307692307692,150.650214386844
"350570","2013/2014",839,17,2,2,38,24.5,0,0,0,0,0,0.942307692307692,2206.7493804811
"350580","2013/2014",8,19,0,0,2,1.5,3,2,0,4,2,0.115384615384615,503.764881956136
"350590","2013/2014",8,17,0,0,1,1,7,3,0,3,1.5,0.0192307692307692,110.474809618891
"350600","2013/2014",60,16,3,1,30,2.5,0,0,0,0,0,0.788461538461538,280.665793785225
"350610","2013/2014",78,20,3,1,27,2.5,0,0,0,1,1,0.730769230769231,1142.76391251038
"350620","2013/2014",5,19,0,0,1,1,6,4,3,16,3,0.0192307692307692,516.788528430468
"350630","2013/2014",5,21,0,0,1,1,3,3,2,28,2.5,0.0192307692307692,151.9453821667
"350635","2013/2014",302,17,1,1,28,14.5,2,2,0,4,4,0.557692307692308,3870.44045503454
"350640","2013/2014",12,21,1,0,4,1,1,2,2,20,2,0.115384615384615,991.37314713312
"350650","2013/2014",689,17,3,2,35,5.5,0,0,0,1,1,0.903846153846154,5741.37689521535
"350660","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"350670","2013/2014",158,9,1,1,18,18,2,4,1,7,2.5,0.346153846153846,7518.04794933948
"350680","2013/2014",10,13,1,1,6,3.5,0,2,2,20,17,0.134615384615385,604.552953948999
"350690","2013/2014",4,20,0,0,0,0,4,5,3,17,4,0,148.290242026785
"350700","2013/2014",7,14,0,0,1,1,4,3,2,9,2,0.0192307692307692,71.8445786520888
"350710","2013/2014",19,20,1,1,6,6,2,2,2,28,7,0.115384615384615,283.943144735113
"350715","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"350720","2013/2014",1,50,0,0,0,0,1,2,2,41,25.5,0,121.951219512195
"350730","2013/2014",10,18,1,0,4,2.5,6,3,2,11,2,0.0961538461538462,1406.46432642337
"350740","2013/2014",4,19,0,0,0,0,3,4,2,8,3,0,262.468550366006
"350745","2013/2014",1,14,0,0,0,0,2,3,3,26,13,0,81.8633354586315
"350750","2013/2014",13,19,1,0,4,4,5,0,0,2,1,0.0769230769230769,77.5989707155394
"350760","2013/2014",76,20,1,1,24,1,1,1,0,4,1,0.519230769230769,428.486524555513
"350770","2013/2014",10,21,1,1,7,7,7,4,1,9,2,0.134615384615385,1479.63378694234
"350775","2013/2014",6,20,0,0,1,1,5,3,2,19,2,0.0384615384615385,1254.64734977682
"350780","2013/2014",9,19,0,0,1,1,5,3,0,5,1.5,0.0961538461538462,350.276136628157
"350790","2013/2014",30,20,1,1,13,1,2,4,1,14,4,0.288461538461538,1232.2884976956
"350800","2013/2014",6,21,0,0,1,1,6,4,4,12,4,0.0192307692307692,107.696768505204
"350810","2013/2014",175,19,1,1,24,12.5,6,1,0,5,1,0.480769230769231,10513.3909173619
"350820","2013/2014",1,48,0,0,0,0,2,3,3,26,16,0,47.1761234381414
"350830","2013/2014",1,47,0,0,0,0,3,4,4,19,8,0,112.313683478441
"350840","2013/2014",7,19,0,0,1,1,7,2,1,9,1,0.0192307692307692,103.2667388066
"350850","2013/2014",34,18,1,1,17,2,0,2,0,4,4,0.384615384615385,421.017202486511
"350860","2013/2014",5,16,0,0,1,1,8,3,1,7,1,0.0192307692307692,180.725150520454
"350870","2013/2014",5,20,0,0,1,1,4,5,3,9,4.5,0.0192307692307692,184.030369174497
"350880","2013/2014",6,16,0,0,1,1,8,4,2,9,1,0.0384615384615385,252.892257266977
"350890","2013/2014",1,18,0,0,0,0,2,3,2,30,16,0,49.161419630533
"350900","2013/2014",137,17,1,1,12,6.5,1,3,0,5,2,0.25,656.968021280994
"350910","2013/2014",7,13,0,0,2,2,5,4,2,15,5,0.0384615384615385,613.046017135078
"350920","2013/2014",65,17,1,1,13,1,4,3,0,5,1.5,0.288461538461538,592.112369391281
"350925","2013/2014",1,5,0,0,0,0,4,5,3,17,8,0,13.5150984116835
"350930","2013/2014",15,23,1,1,8,1,5,5,0,5,3,0.192307692307692,1229.17273080687
"350940","2013/2014",2,50,0,0,0,0,6,7,3,8,4,0,62.1083639661605
