,No Transmission,Episodic,Episodic/Epidemic,Epidemic,Persistent Transmission,p-value,global
count,150,1841,2821,726,32,,
temp_med,20.47 (4.15),22.74 (3.67),23.64 (2.59),23.38 (2.11),22.63 (1.9),4.243957672038994e-147,23.22 (3.05)
umid_med,77.52 (5.98),74.55 (6.65),71.71 (6.93),70.99 (7.17),70.97 (6.91),1.9419786871834266e-197,72.71 (7.04)
precip_tot,531.67 (181.52),435.71 (173.82),388.03 (158.79),408.03 (146.82),414.98 (101.04),2.2493992680767322e-114,410.42 (165.45)
altitude,510.35 (381.48),430.79 (314.76),458.83 (267.63),458.44 (249.2),518.04 (319.33),0.0004982657291250639,451.24 (286.21)
pop,5437.23 (4413.53),10259.54 (10221.22),21923.68 (32173.1),109949.78 (192834.53),1302777.34 (2166239.85),0.0,36456.47 (206498.48)
prop_esgot,36.23 (25.45),34.96 (27.4),41.9 (31.7),61.4 (31.04),85.83 (14.67),7.31801715141352e-98,42.25 (31.28)
prop_abast,82.07 (14.04),82.1 (16.01),86.02 (14.85),94.61 (7.09),98.99 (1.04),4.867942721071412e-88,85.82 (14.98)
prop_residuo,59.88 (25.85),61.74 (22.89),71.34 (19.75),88.04 (12.1),98.77 (1.17),5.861637390755593e-198,70.19 (21.94)
