"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"Af";"16(7.3%)";"57(25.9%)";"94(42.7%)";"52(23.6%)";"1(0.5%)"
"Am";"17(4.3%)";"98(24.7%)";"192(48.5%)";"83(21%)";"6(1.5%)"
"As";"32(3.6%)";"293(32.8%)";"480(53.8%)";"83(9.3%)";"4(0.4%)"
"Aw";"27(2%)";"361(27%)";"665(49.7%)";"276(20.6%)";"8(0.6%)"
"BSh";"8(1.9%)";"119(28.3%)";"262(62.4%)";"31(7.4%)";"0(0%)"
"Cfa";"49(4.3%)";"328(28.8%)";"514(45.2%)";"234(20.6%)";"13(1.1%)"
"Cfb";"58(14.3%)";"175(43.2%)";"134(33.1%)";"37(9.1%)";"1(0.2%)"
"Cwa";"7(1.7%)";"101(24.8%)";"210(51.6%)";"85(20.9%)";"4(1%)"
"Cwb";"30(8.5%)";"143(40.3%)";"150(42.3%)";"30(8.5%)";"2(0.6%)"
