"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"metropolitana";"10(4.1%)";"71(4.2%)";"192(7.1%)";"141(15.5%)";"31(79.5%)"
"não metropolitana";"234(95.9%)";"1604(95.8%)";"2509(92.9%)";"770(84.5%)";"8(20.5%)"
