"Variable";"0";"1"
"Af";"176(80%)";"44(20%)"
"Am";"314(79.3%)";"82(20.7%)"
"As";"797(89.3%)";"95(10.7%)"
"Aw";"1156(86.5%)";"181(13.5%)"
"BSh";"380(90.5%)";"40(9.5%)"
"Cfa";"1036(91%)";"102(9%)"
"Cfb";"381(94.1%)";"24(5.9%)"
"Cwa";"344(84.5%)";"63(15.5%)"
"Cwb";"331(93.2%)";"24(6.8%)"
