"Variable";"0";"1"
"1";"377(83.8%)";"73(16.2%)"
"2";"1626(90.6%)";"168(9.4%)"
"3";"1395(83.6%)";"273(16.4%)"
"4";"1138(95.5%)";"53(4.5%)"
"5";"379(81.2%)";"88(18.8%)"
