,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
52,2701357,Autumn,24.445751086956523,85.1099902173913,2344.1933,92,92,60,92,2010,Episódico/Epidêmico
53,2701357,Spring,24.93725222222222,76.53521333333333,680.1843,90,90,23,90,2010,Episódico/Epidêmico
54,2701357,Summer,25.740724444444442,77.99307777777778,882.0497,90,90,35,90,2010,Episódico/Epidêmico
55,2701357,Winter,22.587441304347827,83.21308586956522,2267.7464,92,92,60,92,2010,Episódico/Epidêmico
56,2701407,Autumn,24.526809782608694,84.22416304347826,2104.8824,92,92,59,92,2010,Episódico/Epidêmico
57,2701407,Spring,25.17581111111111,75.64943444444444,540.3429,90,90,11,90,2010,Episódico/Epidêmico
58,2701407,Summer,26.148413333333334,75.3527,698.5548,90,90,22,90,2010,Episódico/Epidêmico
59,2701407,Winter,22.48943804347826,82.52915869565217,1633.3606,92,92,47,92,2010,Episódico/Epidêmico
60,2701506,Autumn,24.589504347826086,82.57540108695652,1707.0399,92,92,46,92,2010,Episódico
61,2701506,Spring,25.620502222222225,72.09784888888889,390.0976,90,90,8,90,2010,Episódico
62,2701506,Summer,26.535136666666666,72.40943666666666,610.3985,90,90,17,90,2010,Episódico
63,2701506,Winter,22.468769565217393,81.14488913043479,1047.0987,92,92,33,92,2010,Episódico
64,2701605,Autumn,24.19094456521739,78.01825652173913,1097.2235,92,85,27,85,2010,Episódico/Epidêmico
65,2701605,Spring,25.781564444444445,64.57537888888889,353.2793,90,61,9,61,2010,Episódico/Epidêmico
66,2701605,Summer,26.597874444444447,65.0339,507.8393,90,64,14,64,2010,Episódico/Epidêmico
67,2701605,Winter,21.663863043478262,78.73841195652174,671.2988,91,92,20,91,2010,Episódico/Epidêmico
68,2701704,Autumn,24.024716304347827,85.48403913043478,2106.7973,92,92,58,92,2010,Episódico
69,2701704,Spring,24.534584444444445,77.58824333333334,655.5811,90,90,19,90,2010,Episódico
70,2701704,Summer,25.512343333333334,77.28925555555556,658.6627,90,90,20,90,2010,Episódico
71,2701704,Winter,21.97963152173913,84.3771597826087,2089.5288,92,92,57,92,2010,Episódico
72,2701803,Autumn,24.40428043478261,78.44391739130435,1274.1488,92,88,27,88,2010,Episódico/Epidêmico
73,2701803,Spring,25.905197777777776,65.7216488888889,406.9123,90,70,6,70,2010,Episódico/Epidêmico
74,2701803,Summer,26.760296666666665,65.93422111111111,458.6938,90,73,14,73,2010,Episódico/Epidêmico
75,2701803,Winter,21.95904891304348,78.55589782608696,747.5144,92,92,21,92,2010,Episódico/Epidêmico
76,2701902,Autumn,22.778908695652174,85.95842173913043,1574.0892,92,92,50,92,2010,Episódico
77,2701902,Spring,23.251183333333334,78.16993222222222,675.085,89,90,21,89,2010,Episódico
78,2701902,Summer,24.269856666666666,77.50404666666667,575.9781,90,90,16,90,2010,Episódico
79,2701902,Winter,20.552578260869563,85.90687608695653,1805.3301999999999,72,92,53,72,2010,Episódico
80,2702009,Autumn,24.041915217391306,83.25870869565217,1643.2558999999999,92,92,48,92,2010,Episódico/Epidêmico
81,2702009,Spring,24.823282222222225,74.13114777777777,527.213,90,90,10,90,2010,Episódico/Epidêmico
82,2702009,Summer,25.879784444444446,73.16630555555555,572.3257,90,90,18,90,2010,Episódico/Epidêmico
83,2702009,Winter,21.76733152173913,83.07613043478261,1285.1374,92,92,45,92,2010,Episódico/Epidêmico
84,2702108,Autumn,23.596833695652172,86.07205543478261,2300.1771,92,92,58,92,2010,Episódico/Epidêmico
85,2702108,Spring,24.007084444444445,78.18381444444445,762.6968,90,90,27,90,2010,Episódico/Epidêmico
86,2702108,Summer,24.933903333333333,78.52289444444445,836.0732,90,90,31,90,2010,Episódico/Epidêmico
87,2702108,Winter,21.56455652173913,85.087475,2382.9318,92,92,62,92,2010,Episódico/Epidêmico
88,2702207,Autumn,25.11258152173913,83.77437391304348,2939.1788,92,92,72,92,2010,Episódico/Epidêmico
89,2702207,Spring,25.36322111111111,77.20036666666667,699.3047,90,90,21,90,2010,Episódico/Epidêmico
90,2702207,Summer,26.173317777777775,77.9702688888889,1041.9146,90,90,43,90,2010,Episódico/Epidêmico
91,2702207,Winter,23.433336956521742,79.95763152173913,2636.791,92,92,61,92,2010,Episódico/Epidêmico
92,2702306,Autumn,25.15901195652174,83.42185978260869,2464.5996,92,92,61,92,2010,Episódico/Epidêmico
