,geocode,dengue_pattern,temp_med_Autumn,umid_med_Autumn,precip_tot_Autumn,thr_temp_Autumn,thr_umid_Autumn,thr_prec_Autumn,thr_temp_umid_Autumn,temp_med_Spring,umid_med_Spring,precip_tot_Spring,thr_temp_Spring,thr_umid_Spring,thr_prec_Spring,thr_temp_umid_Spring,temp_med_Summer,umid_med_Summer,precip_tot_Summer,thr_temp_Summer,thr_umid_Summer,thr_prec_Summer,thr_temp_umid_Summer,temp_med_Winter,umid_med_Winter,precip_tot_Winter,thr_temp_Winter,thr_umid_Winter,thr_prec_Winter,thr_temp_umid_Winter
0,2700102,Episódico/Epidêmico,25.521283229813662,69.34858338509318,511.0697857142858,92.0,75.71428571428571,12.428571428571429,75.71428571428571,26.46098829712123,59.73847005848728,272.7830142857143,90.71428571428571,39.57142857142857,5.428571428571429,39.57142857142857,27.124595977673124,60.97599731728589,313.09568571428565,90.28571428571429,43.57142857142857,7.285714285714286,43.57142857142857,22.697445807453416,72.37499673913042,461.98675714285713,92.0,89.71428571428571,11.428571428571429,89.71428571428571
1,2700201,Episódico/Epidêmico,24.75151537267081,80.68282173913043,1031.4257142857143,92.0,92.0,35.142857142857146,92.0,24.69737695809178,75.65099602727813,692.6157000000001,90.71428571428571,90.42857142857143,15.857142857142858,90.42857142857143,25.731077767312055,74.88979576661434,556.2554142857143,90.28571428571429,90.28571428571429,15.857142857142858,90.28571428571429,22.310610248447205,82.44199363354038,1204.1088571428572,92.0,92.0,46.714285714285715,92.0
2,2700300,Epidêmico,25.013079037267083,77.51695155279504,865.2650142857144,92.0,91.57142857142857,26.857142857142858,91.57142857142857,25.199115920250645,71.2628893340982,547.2237571428572,90.71428571428571,89.14285714285714,9.428571428571429,89.14285714285714,26.208495056689344,70.6089611268097,436.56931428571437,90.28571428571429,89.57142857142857,10.857142857142858,89.57142857142857,22.361287111801243,80.32513307453416,936.6769571428571,91.85714285714286,92.0,35.857142857142854,91.85714285714286
3,2700409,Episódico/Epidêmico,24.86210636645963,82.03907934782607,1273.5907000000002,92.0,92.0,44.42857142857143,92.0,24.78653950869587,76.7987989515315,762.0256,90.71428571428571,90.71428571428571,20.428571428571427,90.71428571428571,25.731895675911392,76.74971855572998,695.9134857142857,90.28571428571429,90.28571428571429,24.0,90.28571428571429,22.60211242236025,82.80979347826086,1572.4947285714286,92.0,92.0,54.42857142857143,92.0
4,2700508,Episódico,25.649579192546586,80.92745186335404,1958.8012714285717,92.0,92.0,57.714285714285715,92.0,25.34107945000634,76.450318278698,806.2101999999999,90.71428571428571,90.71428571428571,28.571428571428573,90.71428571428571,26.177408346415486,77.1369883847898,983.7064571428572,90.28571428571429,90.28571428571429,36.57142857142857,90.28571428571429,23.877951242236026,78.94004798136646,2111.8324285714284,92.0,92.0,59.857142857142854,92.0
5,2700607,Episódico/Epidêmico,25.6594850931677,80.300324378882,1579.7430428571429,92.0,92.0,51.857142857142854,92.0,25.43009526402012,75.78870555566587,823.8171999999998,90.71428571428571,90.71428571428571,22.142857142857142,90.71428571428571,26.363800634920636,75.77033292342578,862.0084428571428,90.28571428571429,90.28571428571429,32.285714285714285,90.28571428571429,23.638769720496896,79.3884909937888,1703.655257142857,92.0,92.0,53.142857142857146,92.0
6,2700706,Episódico,25.927334937888197,72.95225667701864,635.6532428571429,92.0,87.42857142857143,17.571428571428573,87.42857142857143,26.440781290452467,65.20877857499555,377.41675714285714,90.71428571428571,69.71428571428571,6.0,69.71428571428571,27.308136417233563,65.48506792604222,302.3735571428571,90.28571428571429,75.71428571428571,6.285714285714286,75.71428571428571,23.199756987577643,75.86678462732918,624.2674714285714,92.0,91.85714285714286,17.285714285714285,91.85714285714286
7,2700805,Episódico,24.476196583850932,79.65750776397515,910.9654714285714,92.0,91.85714285714286,29.428571428571427,91.85714285714286,24.513496935494846,74.11181464509569,610.2385285714284,90.71428571428571,89.71428571428571,12.142857142857142,89.71428571428571,25.51656732251875,73.49770124716552,469.6682,90.28571428571429,90.14285714285714,11.142857142857142,90.14285714285714,21.89389409937888,82.40866677018633,1138.6654857142855,91.85714285714286,92.0,43.285714285714285,91.85714285714286
8,2700904,Episódico,26.20240791925466,72.29162391304348,596.6202285714286,92.0,86.71428571428571,16.0,86.71428571428571,26.739214440454585,64.62044571625306,336.3724,90.71428571428571,67.71428571428571,5.714285714285714,67.71428571428571,27.61406840746555,64.88690848944705,310.26041428571426,90.28571428571429,74.42857142857143,6.571428571428571,74.42857142857143,23.490963975155278,74.9013948757764,571.0046571428572,92.0,91.85714285714286,13.714285714285714,91.85714285714286
9,2701001,Episódico/Epidêmico,24.972625776397518,81.31636723602483,1211.5021,92.0,92.0,41.857142857142854,92.0,24.886792465750656,76.27680600995811,753.1185285714286,90.71428571428571,90.71428571428571,18.571428571428573,90.71428571428571,25.879936607360897,75.84543811093668,666.8651571428571,90.28571428571429,90.28571428571429,21.285714285714285,90.28571428571429,22.665417236024844,82.23560263975155,1408.5854857142856,92.0,92.0,49.714285714285715,92.0
10,2701100,Episódico/Epidêmico,24.20049813664596,82.87395605590062,1203.8300857142858,92.0,91.85714285714286,41.714285714285715,91.85714285714286,24.151752723124073,77.47607000353018,696.7983285714287,90.71428571428571,90.57142857142857,20.714285714285715,90.57142857142857,25.080847997557992,77.54465213326357,686.4156142857144,90.28571428571429,90.28571428571429,22.428571428571427,90.28571428571429,21.83183618012422,84.55115667701864,1578.6207714285715,91.85714285714286,92.0,53.42857142857143,91.85714285714286
11,2701209,Episódico/Epidêmico,25.354808229813663,73.87852375776399,611.800742857143,92.0,87.71428571428571,16.285714285714285,87.71428571428571,25.828046560190778,66.07689551069264,339.2683142857143,90.71428571428571,72.57142857142857,5.714285714285714,72.57142857142857,26.69214238967382,66.30747242281528,279.10785714285714,90.28571428571429,78.71428571428571,6.285714285714286,78.71428571428571,22.570185559006212,77.59732065217392,689.7615714285714,91.85714285714286,91.85714285714286,21.571428571428573,91.71428571428571
12,2701308,Episódico/Epidêmico,24.36398431677019,82.05249037267082,1113.1388142857143,92.0,91.85714285714286,38.714285714285715,91.85714285714286,24.302343765286025,76.84151379821616,718.6620571428572,90.71428571428571,90.28571428571429,19.0,90.28571428571429,25.264573840920978,76.61004936682366,612.5145571428571,90.28571428571429,90.28571428571429,19.857142857142858,90.28571428571429,21.976462577639754,83.71957049689442,1479.9236142857142,92.0,92.0,53.285714285714285,92.0
13,2701357,Episódico/Epidêmico,24.876852795031056,82.33701537267079,1382.2280857142855,92.0,92.0,49.42857142857143,92.0,24.847521602433627,76.10125524929258,635.9527285714285,90.71428571428571,90.71428571428571,22.571428571428573,90.71428571428571,25.684427840572123,77.23732165184023,848.8748714285714,90.28571428571429,90.28571428571429,31.428571428571427,90.28571428571429,22.74272779503105,82.56407500000002,1574.8257857142858,92.0,92.0,53.42857142857143,92.0
14,2701407,Episódico/Epidêmico,25.125227950310563,80.34594751552795,1171.0009857142857,92.0,92.0,39.142857142857146,92.0,25.109790134772624,74.95416810831084,680.9187285714286,90.71428571428571,90.71428571428571,15.857142857142858,90.71428571428571,26.125037655677655,74.35253157683586,600.3476142857144,90.28571428571429,90.28571428571429,17.428571428571427,90.28571428571429,22.749432453416148,81.65783788819876,1248.9339428571427,92.0,92.0,46.0,92.0
15,2701506,Episódico,25.360604658385096,77.84103090062112,872.3412571428572,92.0,91.71428571428571,26.285714285714285,91.71428571428571,25.653887022297234,70.8110995143589,445.9693857142857,90.71428571428571,89.0,9.285714285714286,89.0,26.571765789290076,70.89962859061573,445.73165714285716,90.28571428571429,89.0,11.285714285714286,89.0,22.847613509316773,79.70207888198759,858.7594285714284,92.0,92.0,30.714285714285715,92.0
16,2701605,Episódico/Epidêmico,25.256296428571428,71.08117934782608,540.4015142857143,92.0,78.71428571428571,13.714285714285714,78.71428571428571,26.165220345039977,60.99078708573046,246.00604285714283,90.71428571428571,46.857142857142854,5.571428571428571,46.857142857142854,26.849210369788945,62.24160055991627,275.24725714285717,90.28571428571429,53.57142857142857,6.285714285714286,53.57142857142857,22.358407608695654,75.19997608695651,548.2547999999999,91.42857142857143,90.57142857142857,14.857142857142858,90.0
17,2701704,Episódico,24.48307546583851,82.44043307453417,1179.8264142857145,92.0,91.85714285714286,41.0,91.85714285714286,24.43385402479228,77.08943705467574,718.6715857142857,90.71428571428571,90.42857142857143,19.571428571428573,90.42857142857143,25.37631664922379,77.05847040990757,655.6157571428572,90.28571428571429,90.28571428571429,22.142857142857142,90.28571428571429,22.13907795031056,83.93445714285714,1550.3212428571428,92.0,92.0,54.0,92.0
18,2701803,Episódico/Epidêmico,25.42650465838509,72.00663214285714,614.2655428571428,92.0,84.14285714285714,15.857142857142858,84.14285714285714,26.167435835599463,63.02937444931685,299.449,90.71428571428571,58.285714285714285,5.571428571428571,58.285714285714285,26.93706224664225,63.70529761904761,285.46927142857146,90.28571428571429,64.71428571428571,6.571428571428571,64.71428571428571,22.59370947204969,75.51565869565218,630.5075714285714,91.85714285714286,91.42857142857143,17.571428571428573,91.28571428571429
