"Variable";"Sem transmissão";"Episódico";"Episódico/Epidêmico";"Epidêmico";"Transmissão Persistente"
"amazonia";"9(1.8%)";"174(34.6%)";"269(53.5%)";"51(10.1%)";"0(0%)"
"caatinga";"8(0.7%)";"291(26.6%)";"721(65.8%)";"75(6.8%)";"1(0.1%)"
"cerrado";"5(0.5%)";"265(24.9%)";"654(61.5%)";"135(12.7%)";"4(0.4%)"
"mata atlantica";"143(5.2%)";"955(34.9%)";"1322(48.3%)";"310(11.3%)";"9(0.3%)"
"pampa";"43(26.9%)";"94(58.8%)";"22(13.8%)";"1(0.6%)";"0(0%)"
"pantanal";"0(0%)";"1(11.1%)";"6(66.7%)";"2(22.2%)";"0(0%)"
