"Variable";"Piorou";"Melhorou";"Se manteve"
"Af";"38(17.3%)";"57(25.9%)";"125(56.8%)"
"Am";"41(10.4%)";"88(22.2%)";"267(67.4%)"
"As";"92(10.3%)";"198(22.2%)";"602(67.5%)"
"Aw";"186(13.9%)";"162(12.1%)";"989(74%)"
"BSh";"46(11%)";"64(15.2%)";"310(73.8%)"
"Cfa";"362(31.8%)";"29(2.5%)";"747(65.6%)"
"Cfb";"96(23.7%)";"33(8.1%)";"276(68.1%)"
"Cwa";"72(17.7%)";"34(8.4%)";"301(74%)"
"Cwb";"40(11.3%)";"39(11%)";"276(77.7%)"
