"";"column";"0";"1";"p-value";"global"
"1";"pop";"15885.24 (24273.87)";"172151.57 (569633.99)";9,69520726395558e-79;"34277.77 (203094.37)"
"2";"altitude";"456.39 (287.47)";"414.19 (273.4)";0,00039022556955639;"451.43 (286.17)"
"3";"prop_esgot";"41.66 (31.07)";"46.63 (32.33)";0,00013297883473211;"42.25 (31.26)"
"4";"prop_residuo";"69.61 (22.22)";"74.67 (18.88)";2,74316216940761e-08;"70.21 (21.92)"
