"Variable";"Piorou";"Melhorou";"Se manteve";"Source"
"metropolitana";"74(16.6%)";"55(12.4%)";"316(71%)";"tipo_regiao"
"não metropolitana";"899(17.5%)";"649(12.7%)";"3577(69.8%)";"tipo_regiao"
