"muni_code";"region";"tipo_regiao";"altitude";"koppen";"pop10";"prop_residuo";"prop_esgot";"bioma";"dengue_pattern_10_16";"temp_med_Autumn";"umid_med_Autumn";"thr_temp_Autumn";"thr_umid_Autumn";"thr_prec_Autumn";"thr_temp_umid_Autumn";"temp_med_Spring";"umid_med_Spring";"precip_tot_Spring";"thr_temp_Spring";"thr_umid_Spring";"thr_prec_Spring";"thr_temp_umid_Spring";"temp_med_Summer";"umid_med_Summer";"precip_tot_Summer";"thr_temp_Summer";"thr_umid_Summer";"thr_prec_Summer";"thr_temp_umid_Summer";"temp_med_Winter";"umid_med_Winter";"precip_tot_Winter";"thr_temp_Winter";"thr_umid_Winter";"thr_prec_Winter";"thr_temp_umid_Winter";"residuos"
1600501;1;"nao metropolitana";103,18;"Am";20509;67,02;23,9;"Amazonia";"1";24,9056492236025;88,4572169254659;92;92;78,4285714285714;92;27,1886543505449;73,8990373951927;712,715685714286;90,7142857142857;90,7142857142857;21,2857142857143;90,7142857142857;24,4813705197977;88,2196252468167;3638,40065714286;90,2857142857143;90,2857142857143;74,1428571428571;90,2857142857143;25,756827484472;82,4542163043478;1149,18345714286;92;92;39,1428571428571;92;3,15068845992216
2111201;2;"metropolitana";11,38;"As";163045;25,27;1,98;"Amazonia";"0";26,4415596273292;84,6665641304348;92;92;73,1428571428571;92;27,6523505568886;73,9879832181423;515,8363;90,7142857142857;90,7142857142857;9,85714285714286;90,7142857142857;26,470065904413;82,8123922414094;3162,72488571429;90,2857142857143;90,2857142857143;70,2857142857143;90,2857142857143;27,1612187888199;76,329472204969;861,779757142857;92;92;22,5714285714286;92;-3,05229515814998
3109006;3;"metropolitana";900,81;"Cwb";33973;73,85;58,57;"Mata Atlantica";"1";19,0902344720497;76,6842282608696;32,7142857142857;91,7142857142857;16,4285714285714;32,5714285714286;21,2730150343918;72,2827554989437;1858,25157142857;65,2857142857143;73,2857142857143;37,4285714285714;50,7142857142857;22,2117607413222;74,6855075649747;1702,86038571429;85,1428571428571;84,7142857142857;31,8571428571429;79,5714285714286;18,2008164596273;65,0405458074534;107,802271428571;20,2857142857143;65,7142857142857;2;8,14285714285714;3,1326273622147
3144805;3;"metropolitana";1119,45;"Cwb";80998;63,76;53,9;"Mata Atlantica";"1";18,5619414596273;76,7209079192547;25,1428571428571;91,2857142857143;15,4285714285714;24,8571428571429;20,6052060120542;72,8939315457666;1738,05388571429;55,4285714285714;75,5714285714286;36,7142857142857;44;21,5099417373103;75,2486491679749;1692,19771428571;79,8571428571429;86;32;75,5714285714286;17,5514782608696;65,8218369565217;97,2862857142857;12,5714285714286;67,2857142857143;2,28571428571429;4,42857142857143;3,24488350434531
3302858;3;"metropolitana";194,7;"Am";168376;96,9;69,97;"Mata Atlantica";"0";21,9859748447205;81,6215964285714;72,5714285714286;91,7142857142857;27,2857142857143;72,2857142857143;23,5472738665402;77,1390927937648;1501,60887142857;80,1428571428571;88,5714285714286;34,2857142857143;78;26,4027260666318;76,6850005232862;1971,26035714286;90,2857142857143;86,5714285714286;38,4285714285714;86,5714285714286;20,3618378881988;76,3135139751553;564,456757142857;51,5714285714286;88,8571428571429;15,5714285714286;48,5714285714286;-3,9044678110872
3303203;3;"metropolitana";25,74;"Aw";157425;98,98;92,1;"Mata Atlantica";"0";22,0783436335404;81,3495874223602;74;91,7142857142857;28,1428571428571;73,7142857142857;23,5761755181575;76,9198850289127;1452,17717142857;80,7142857142857;88,5714285714286;32,8571428571429;78,5714285714286;26,5216268602826;76,0851558642944;1869,22944285714;90,2857142857143;85,2857142857143;36,5714285714286;85,2857142857143;20,4692153726708;76,2565871118012;581,489528571429;53,5714285714286;88,7142857142857;16;50,4285714285714;-3,36899610458537
3304144;3;"metropolitana";39,33;"Am";137962;94,87;85,43;"Mata Atlantica";"0";22,0037551242236;81,9056479813665;72,7142857142857;91,7142857142857;27;72,4285714285714;23,5883334543897;77,4428861218212;1537,15504285714;80,5714285714286;88,1428571428571;34,5714285714286;78;26,3426233839177;77,4024679452294;2082,67222857143;90,2857142857143;87,1428571428571;39,7142857142857;87,1428571428571;20,4134082298137;76,0702128881988;528,853371428571;51,1428571428571;88,7142857142857;14,2857142857143;47,8571428571429;-3,12104943175328
3503901;3;"metropolitana";771,98;"Cfb";74905;79,01;74,21;"Mata Atlantica";"1";18,2707928571429;83,8756885093168;24,5714285714286;91,5714285714286;22,1428571428571;24,2857142857143;20,0527592249931;81,7653247575288;1636,21381428571;50,4285714285714;89,8571428571429;39,7142857142857;49,5714285714286;22,2637052817024;83,1477859497645;1851,54907142857;80,1428571428571;90;50;79,8571428571429;17,0301944099379;77,2550327639752;641,739728571429;10,1428571428571;87;12,8571428571429;7,28571428571429;3,46376758227699
3510609;3;"metropolitana";780,11;"Cfb";369584;94,39;87,71;"Mata Atlantica";"0";18,2769917701863;83,2176118012422;25,8571428571429;91,5714285714286;22,8571428571429;25,5714285714286;19,9409660648968;81,6510726167585;1696,08687142857;48,7142857142857;89,5714285714286;38,5714285714286;47,5714285714286;22,2697314547357;82,8517226495726;1850,04662857143;78,5714285714286;89,2857142857143;49,2857142857143;77,5714285714286;17,1083427018634;75,9028864906832;660,631414285714;13,2857142857143;84,4285714285714;14,1428571428571;8,71428571428571;-4,86026646562912
3523107;3;"metropolitana";761,39;"Cfb";321770;94,88;86,65;"Mata Atlantica";"0";18,4673661490683;84,2682948757764;26;91,5714285714286;22,8571428571429;25,7142857142857;20,1556717567327;82,3389172313511;1705,7372;51,4285714285714;90,1428571428571;40;50,8571428571429;22,4827342787371;83,4668374428746;1936,98664285714;81,1428571428571;90,1428571428571;51;81;17,2324717391304;77,7466409937888;683,593185714286;12,8571428571429;87,4285714285714;13,8571428571429;9,28571428571429;-4,48197887488673
