"";"municipio_geocodigo";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm"
"126";4301750;0;1;0;0;0;1;52;0;0
"127";4301875;0;1;0;0;0;1;52;0;0
"128";4301925;0;1;0;0;0;1;52;0;0
"129";4301958;0;1;0;0;0;1;52;0;0
"130";4302006;0;1;0;0;0;1;52;0;0
"131";4302055;0;1;0;0;0;1;52;0;0
"132";4302378;0;1;0;0;0;1;52;0;0
"133";4302451;0;1;0;0;0;1;52;0;0
"134";4302659;0;1;0;0;0;1;52;0;0
"135";4302907;0;1;0;0;0;1;52;0;0
"136";4303608;0;1;0;0;0;1;52;0;0
"137";4304358;0;1;0;0;0;1;52;0;0
"138";4304622;0;1;0;0;0;1;52;0;0
"139";4304655;0;1;0;0;0;1;52;0;0
"140";4304689;0;1;0;0;0;1;52;0;0
"141";4304697;0;1;0;0;0;1;52;0;0
"142";4304853;0;1;0;0;0;1;52;0;0
"143";4304952;0;1;0;0;0;1;52;0;0
"144";4305116;0;1;0;0;0;1;52;0;0
"145";4305124;0;1;0;0;0;1;52;0;0
"146";4305157;0;1;0;0;0;1;52;0;0
"147";4305371;0;1;0;0;0;1;52;0;0
"148";4305439;0;1;0;0;0;1;52;0;0
"149";4305447;0;1;0;0;0;1;52;0;0
"150";4305504;0;1;0;0;0;1;52;0;0
"151";4305835;0;1;0;0;0;1;52;0;0
"152";4305850;0;1;0;0;0;1;52;0;0
"153";4305871;0;1;0;0;0;1;52;0;0
"154";4305934;0;1;0;0;0;1;52;0;0
"155";4306056;0;1;0;0;0;1;52;0;0
"156";4306072;0;1;0;0;0;1;52;0;0
"157";4306205;0;1;0;0;0;1;52;0;0
"158";4306304;0;1;0;0;0;1;52;0;0
"159";4306379;0;1;0;0;0;1;52;0;0
"160";4306452;0;1;0;0;0;1;52;0;0
"161";4306502;0;1;0;0;0;1;52;0;0
"162";4306551;0;1;0;0;0;1;52;0;0
"163";4306700;0;1;0;0;0;1;52;0;0
"164";4306957;0;1;0;0;0;1;52;0;0
"165";4307104;0;1;0;0;0;1;52;0;0
"166";4307401;0;1;0;0;0;1;52;0;0
"167";4307815;0;1;0;0;0;1;52;0;0
"168";4307864;0;1;0;0;0;1;52;0;0
"169";4308052;0;1;0;0;0;1;52;0;0
"170";4308250;0;1;0;0;0;1;52;0;0
"171";4308300;0;1;0;0;0;1;52;0;0
"172";4308409;0;1;0;0;0;1;52;0;0
"173";4308433;0;1;0;0;0;1;52;0;0
"174";4308656;0;1;0;0;0;1;52;0;0
"175";4308854;0;1;0;0;0;1;52;0;0
"176";4309126;0;1;0;0;0;1;52;0;0
"177";4309571;0;1;0;0;0;1;52;0;0
"178";4309654;0;1;0;0;0;1;52;0;0
"179";4309753;0;1;0;0;0;1;52;0;0
"180";4309902;0;1;0;0;0;1;52;0;0
"181";4309951;0;1;0;0;0;1;52;0;0
"182";4310413;0;1;0;0;0;1;52;0;0
"183";4310439;0;1;0;0;0;1;52;0;0
"184";4310538;0;1;0;0;0;1;52;0;0
"185";4310579;0;1;0;0;0;1;52;0;0
"186";4310652;0;1;0;0;0;1;52;0;0
"187";4310702;0;1;0;0;0;1;52;0;0
"188";4310751;0;1;0;0;0;1;52;0;0
"189";4310876;0;1;0;0;0;1;52;0;0
"190";4311122;0;1;0;0;0;1;52;0;0
"191";4311130;0;1;0;0;0;1;52;0;0
"192";4311155;0;1;0;0;0;1;52;0;0
"193";4311239;0;1;0;0;0;1;52;0;0
"194";4311254;0;1;0;0;0;1;52;0;0
"195";4311270;0;1;0;0;0;1;52;0;0
"196";4311429;0;1;0;0;0;1;52;0;0
"197";4311502;0;1;0;0;0;1;52;0;0
"198";4311601;0;1;0;0;0;1;52;0;0
"199";4311700;0;1;0;0;0;1;52;0;0
"200";4311718;0;1;0;0;0;1;52;0;0
"201";4311734;0;1;0;0;0;1;52;0;0
"202";4311759;0;1;0;0;0;1;52;0;0
"203";4311791;0;1;0;0;0;1;52;0;0
"204";4311908;0;1;0;0;0;1;52;0;0
"205";4312005;0;1;0;0;0;1;52;0;0
"206";4312054;0;1;0;0;0;1;52;0;0
"207";4312104;0;1;0;0;0;1;52;0;0
"208";4312385;0;1;0;0;0;1;52;0;0
"209";4312450;0;1;0;0;0;1;52;0;0
"210";4312617;0;1;0;0;0;1;52;0;0
"211";4312674;0;1;0;0;0;1;52;0;0
"212";4313003;0;1;0;0;0;1;52;0;0
"213";4313466;0;1;0;0;0;1;52;0;0
"214";4313953;0;1;0;0;0;1;52;0;0
"215";4314027;0;1;0;0;0;1;52;0;0
"216";4314035;0;1;0;0;0;1;52;0;0
"217";4314068;0;1;0;0;0;1;52;0;0
"218";4314076;0;1;0;0;0;1;52;0;0
"219";4314175;0;1;0;0;0;1;52;0;0
"220";4314209;0;1;0;0;0;1;52;0;0
"221";4314456;0;1;0;0;0;1;52;0;0
"222";4314464;0;1;0;0;0;1;52;0;0
"223";4314472;0;1;0;0;0;1;52;0;0
"224";4314506;0;1;0;0;0;1;52;0;0
"225";4314548;0;1;0;0;0;1;52;0;0
"226";4314605;0;1;0;0;0;1;52;0;0
"227";4314779;0;1;0;0;0;1;52;0;0
"228";4314787;0;1;0;0;0;1;52;0;0
"229";4315156;0;1;0;0;0;1;52;0;0
"230";4315206;0;1;0;0;0;1;52;0;0
"231";4315305;0;1;0;0;0;1;52;0;0
"232";4315313;0;1;0;0;0;1;52;0;0
"233";4315453;0;1;0;0;0;1;52;0;0
"234";4315503;0;1;0;0;0;1;52;0;0
"235";4315552;0;1;0;0;0;1;52;0;0
"236";4315750;0;1;0;0;0;1;52;0;0
