"cluster";"freq_abs";"mean_xpm";"max_xpm";"mean_tpm";"max_tpm";"mean_dc3m";"max_dc3m";"mean_dcmaxm";"max_dcmaxm";"mean_dcim";"max_dcim";"mean_ds3m";"max_ds3m";"mean_dsmaxm";"max_dsmaxm";"mean_stm";"max_stm";"mean_incm";"max_incm"
1;1722;2,43;49;12,66;27,14;0,04;0,57;0,26;4,57;0,09;1,43;1,89;3,71;38,96;51,86;0,03;1,16;126,79;2740,42
2;642;116,53;1140,43;25,3;37,14;1,56;3,57;15,45;40,86;1,74;4,14;1,1;3,29;4,43;19,29;8,68;95,74;1348,42;8514,81
3;2907;14,81;151,57;23,42;42,14;0,33;1,57;2,53;12,43;0,58;3,14;3,19;5,29;18,48;37,57;0,56;11,68;674,02;4507,42
4;13;2414,31;5414,29;24,67;32,71;1,89;2,14;40,58;40,86;0,04;0,57;0;0;0,86;0,86;209,45;572,93;1963,43;4263,17
