"";"Transmissão Persistente";"Epidêmico";"Episódico/Epidêmico";"Episódico";"Sem transmissão"
"AC";0;4;8;10;0
"AM";1;8;16;34;3
"AP";0;3;7;3;3
"PA";0;26;82;30;6
"RO";0;13;35;4;0
"RR";0;4;10;1;0
"TO";0;14;81;44;0
"AL";0;12;61;28;1
"BA";0;32;287;97;1
"CE";1;51;128;4;0
"MA";0;4;89;119;5
"PB";0;11;122;89;1
"PE";1;31;134;18;1
"PI";0;4;85;122;13
"RN";0;15;116;36;0
"SE";0;6;28;37;4
"ES";0;25;48;5;0
"MG";2;67;449;323;12
"RJ";1;35;48;8;0
"SP";5;138;439;63;0
"PR";0;50;218;124;7
"RS";0;1;47;278;171
"SC";0;2;41;196;56
"DF";0;1;0;0;0
"GO";1;46;178;19;2
"MS";1;13;61;4;0
"MT";0;26;89;26;0
