,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
55,2701357,Winter,23.00153260869565,80.45016630434782,896.5009,92,92,40,92,2017,Episódico
56,2701407,Autumn,24.636869565217392,82.65145108695653,1108.0331,92,92,47,92,2017,Episódico/Epidêmico
57,2701407,Spring,25.26256,75.35901666666666,443.7191,90,90,14,90,2017,Episódico/Epidêmico
58,2701407,Summer,26.29683,76.15167333333333,748.3125,90,90,27,90,2017,Episódico/Epidêmico
59,2701407,Winter,23.261321739130434,78.0105597826087,659.3021,92,92,23,92,2017,Episódico/Epidêmico
60,2701506,Autumn,24.858754347826086,80.06783369565218,811.4599,92,92,29,92,2017,Episódico
61,2701506,Spring,25.854400000000002,70.78774666666666,260.4785,90,89,2,89,2017,Episódico
62,2701506,Summer,26.89661444444444,71.63350888888888,514.3242,90,90,17,90,2017,Episódico
63,2701506,Winter,23.500803260869564,75.31079347826086,438.36650000000003,92,92,8,92,2017,Episódico
64,2701605,Autumn,24.55592608695652,74.3159902173913,541.6636,92,90,14,90,2017,Episódico
65,2701605,Spring,26.454293333333332,59.96754,94.2208,90,46,0,46,2017,Episódico
66,2701605,Summer,27.339972222222222,62.024628888888884,353.7172,90,49,11,49,2017,Episódico
67,2701605,Winter,23.23396739130435,69.40389891304348,247.883,92,90,3,90,2017,Episódico
68,2701704,Autumn,23.94366956521739,85.21431630434782,1310.9782,92,92,53,92,2017,Episódico/Epidêmico
69,2701704,Spring,24.50456888888889,78.31086666666667,579.8474,90,90,24,90,2017,Episódico/Epidêmico
70,2701704,Summer,25.63760222222222,78.28735333333333,726.9261,90,90,30,90,2017,Episódico/Epidêmico
71,2701704,Winter,22.430180434782606,81.9072902173913,935.912,92,92,41,92,2017,Episódico/Epidêmico
72,2701803,Autumn,24.805375,74.58715217391304,612.4691,92,92,18,92,2017,Episódico
73,2701803,Spring,26.442192222222225,62.19154111111111,132.8137,90,55,0,55,2017,Episódico
74,2701803,Summer,27.499165555555557,62.99271888888889,318.378,90,57,10,57,2017,Episódico
75,2701803,Winter,23.47465760869565,69.74356630434782,292.31,92,92,3,92,2017,Episódico
76,2701902,Autumn,22.65366086956522,85.91759347826087,1182.9773,92,92,49,92,2017,Episódico
77,2701902,Spring,23.29572111111111,78.2584611111111,510.7919,90,90,15,90,2017,Episódico
78,2701902,Summer,24.503025555555556,77.70250777777778,615.6847,90,90,24,90,2017,Episódico
79,2701902,Winter,21.041682608695652,83.12230326086957,871.9508999999999,90,92,32,90,2017,Episódico
80,2702009,Autumn,24.227684782608698,81.17789021739131,858.5669,92,92,35,92,2017,Episódico/Epidêmico
81,2702009,Spring,25.126088888888887,72.44820444444444,279.6928,90,89,3,89,2017,Episódico/Epidêmico
82,2702009,Summer,26.28487777777778,72.42448777777778,494.4272,90,90,19,90,2017,Episódico/Epidêmico
83,2702009,Winter,22.734781521739134,77.41090108695651,562.5589,92,92,18,92,2017,Episódico/Epidêmico
84,2702108,Autumn,23.46667608695652,86.0189597826087,1444.2350000000001,92,92,62,92,2017,Episódico/Epidêmico
85,2702108,Spring,23.917984444444443,79.63921111111111,750.2623,90,90,34,90,2017,Episódico/Epidêmico
86,2702108,Summer,24.988506666666666,79.97295777777778,934.5278,90,90,36,90,2017,Episódico/Epidêmico
87,2702108,Winter,21.932178260869566,82.802725,1002.745,92,92,47,92,2017,Episódico/Epidêmico
88,2702207,Autumn,25.10917608695652,82.90924891304347,1791.3875,92,92,66,92,2017,Episódico/Epidêmico
89,2702207,Spring,25.307912222222225,78.05710555555555,680.0911,90,90,24,90,2017,Episódico/Epidêmico
90,2702207,Summer,26.1966,79.61972888888889,1132.3015,90,90,40,90,2017,Episódico/Epidêmico
91,2702207,Winter,23.84970652173913,77.7798097826087,1085.7865,92,92,43,92,2017,Episódico/Epidêmico
92,2702306,Autumn,25.28256195652174,81.72955869565217,1293.3221,92,92,54,92,2017,Episódico/Epidêmico
93,2702306,Spring,25.760583333333333,74.94796333333333,441.3936,90,90,13,90,2017,Episódico/Epidêmico
94,2702306,Summer,26.727707777777777,76.11523333333334,767.3744,90,90,31,90,2017,Episódico/Epidêmico
95,2702306,Winter,24.039595652173915,76.14287282608696,655.1855,92,92,22,92,2017,Episódico/Epidêmico
96,2702355,Autumn,24.630078260869567,78.03801739130435,708.0729,92,92,22,92,2017,Episódico/Epidêmico
97,2702355,Spring,25.827504444444443,67.89443444444444,195.7222,90,83,0,83,2017,Episódico/Epidêmico
98,2702355,Summer,26.91315111111111,68.44902555555555,396.1108,90,86,9,86,2017,Episódico/Epidêmico
99,2702355,Winter,23.18364347826087,73.95882065217391,393.5061,92,92,8,92,2017,Episódico/Epidêmico
100,2702405,Autumn,25.453281521739132,70.79089673913043,483.3281,92,88,11,88,2017,Episódico/Epidêmico
101,2702405,Spring,26.99383222222222,59.730908888888884,113.38119999999999,90,46,1,46,2017,Episódico/Epidêmico
102,2702405,Summer,28.17271555555556,60.09313888888889,330.8477,90,40,10,40,2017,Episódico/Epidêmico
103,2702405,Winter,23.899133695652175,67.18409456521739,208.7421,92,89,1,89,2017,Episódico/Epidêmico
104,2702504,Autumn,24.674471739130432,75.84108478260869,602.5072,92,92,19,92,2017,Episódico/Epidêmico
105,2702504,Spring,26.225694444444443,63.58204333333333,132.9068,90,65,0,65,2017,Episódico/Epidêmico
106,2702504,Summer,27.27728666666667,64.25954777777778,269.58,90,66,7,66,2017,Episódico/Epidêmico
107,2702504,Winter,23.28340760869565,71.57322391304348,319.4656,92,92,5,92,2017,Episódico/Epidêmico
