muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1302900;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1303007;Episódico;Sem transmissão;Melhorou
1303106;Episódico/Epidêmico;Episódico;Melhorou
1303205;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1303304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1303403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1303502;Episódico;Episódico;Se manteve
1303536;Episódico/Epidêmico;Epidêmico;Piorou
1303569;Episódico;Episódico/Epidêmico;Piorou
1303601;Sem transmissão;Episódico;Piorou
1303700;Episódico;Episódico;Se manteve
1303809;Epidêmico;Episódico/Epidêmico;Melhorou
1303908;Episódico;Episódico/Epidêmico;Piorou
1303957;Sem transmissão;Episódico;Piorou
1304005;Episódico;Sem transmissão;Melhorou
1304062;Epidêmico;Epidêmico;Se manteve
1304104;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1304203;Epidêmico;Epidêmico;Se manteve
1304237;Sem transmissão;Episódico;Piorou
1304260;Episódico;Episódico;Se manteve
1304302;Episódico;Episódico;Se manteve
1304401;Episódico;Episódico;Se manteve
1400027;Episódico/Epidêmico;Episódico;Melhorou
1400050;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400100;Epidêmico;Epidêmico;Se manteve
1400159;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400175;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400209;Epidêmico;Episódico/Epidêmico;Melhorou
1400233;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400282;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400308;Epidêmico;Episódico/Epidêmico;Melhorou
1400407;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400456;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400472;Epidêmico;Epidêmico;Se manteve
1400506;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400605;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1400704;Episódico;Episódico;Se manteve
1500107;Epidêmico;Episódico/Epidêmico;Melhorou
1500131;Episódico/Epidêmico;Episódico;Melhorou
1500206;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1500305;Episódico;Episódico;Se manteve
1500347;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1500404;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1500503;Episódico;Episódico;Se manteve
1500602;Epidêmico;Epidêmico;Se manteve
1500701;Episódico;Episódico;Se manteve
1500800;Epidêmico;Epidêmico;Se manteve
1500859;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1500909;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1500958;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501006;Episódico;Sem transmissão;Melhorou
1501105;Episódico;Episódico;Se manteve
1501204;Episódico/Epidêmico;Episódico;Melhorou
1501253;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501303;Epidêmico;Episódico/Epidêmico;Melhorou
1501402;Epidêmico;Epidêmico;Se manteve
1501451;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501501;Epidêmico;Episódico/Epidêmico;Melhorou
1501576;Episódico;Episódico;Se manteve
1501600;Episódico;Episódico;Se manteve
1501709;Epidêmico;Episódico/Epidêmico;Melhorou
1501725;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501758;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501782;Episódico/Epidêmico;Episódico;Melhorou
1501808;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1501907;Episódico;Episódico;Se manteve
1501956;Episódico/Epidêmico;Episódico;Melhorou
1502004;Sem transmissão;Sem transmissão;Se manteve
1502103;Epidêmico;Episódico/Epidêmico;Melhorou
