muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
2510402;Episódico;Episódico;Se manteve
2510501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2510600;Episódico;Episódico;Se manteve
2510659;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2510709;Episódico/Epidêmico;Episódico;Melhorou
2510808;Epidêmico;Episódico/Epidêmico;Melhorou
2510907;Episódico;Episódico;Se manteve
2511004;Episódico;Episódico;Se manteve
2511103;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2511202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2511301;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2511400;Episódico/Epidêmico;Epidêmico;Piorou
2511509;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2511608;Episódico/Epidêmico;Episódico;Melhorou
2511707;Episódico/Epidêmico;Episódico;Melhorou
2511806;Episódico/Epidêmico;Sem transmissão;Melhorou
2511905;Episódico/Epidêmico;Episódico;Melhorou
2512002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512036;Episódico;Episódico;Se manteve
2512077;Episódico;Episódico;Se manteve
2512101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512200;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512408;Episódico/Epidêmico;Episódico;Melhorou
2512507;Episódico/Epidêmico;Epidêmico;Piorou
2512606;Episódico;Episódico/Epidêmico;Piorou
2512705;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512721;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512747;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512754;Episódico;Episódico;Se manteve
2512762;Episódico;Episódico;Se manteve
2512788;Episódico;Episódico/Epidêmico;Piorou
2512804;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2512903;Episódico/Epidêmico;Episódico;Melhorou
2513000;Episódico;Episódico;Se manteve
2513109;Episódico/Epidêmico;Episódico;Melhorou
2513158;Episódico;Episódico/Epidêmico;Piorou
2513208;Episódico;Episódico;Se manteve
2513307;Episódico/Epidêmico;Episódico;Melhorou
2513356;Episódico;Episódico;Se manteve
2513406;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2513505;Episódico;Episódico;Se manteve
2513604;Episódico/Epidêmico;Episódico;Melhorou
2513653;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2513703;Epidêmico;Epidêmico;Se manteve
2513802;Episódico/Epidêmico;Episódico;Melhorou
2513851;Episódico/Epidêmico;Episódico;Melhorou
2513901;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2513927;Episódico;Episódico;Se manteve
2513943;Sem transmissão;Episódico/Epidêmico;Piorou
2513968;Episódico;Episódico;Se manteve
2513984;Episódico;Episódico;Se manteve
2514008;Episódico;Episódico/Epidêmico;Piorou
2514107;Episódico;Episódico/Epidêmico;Piorou
2514206;Episódico;Episódico;Se manteve
2514305;Episódico;Episódico;Se manteve
2514404;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2514453;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2514503;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2514552;Episódico;Episódico;Se manteve
2514602;Episódico;Episódico;Se manteve
2514651;Episódico/Epidêmico;Episódico;Melhorou
2514701;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2514800;Episódico;Episódico;Se manteve
2514909;Episódico/Epidêmico;Episódico;Melhorou
2515005;Episódico;Episódico;Se manteve
2515104;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2515203;Episódico;Episódico;Se manteve
2515302;Episódico;Episódico/Epidêmico;Piorou
2515401;Episódico;Episódico/Epidêmico;Piorou
2515500;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2515609;Episódico;Episódico;Se manteve
2515708;Episódico;Episódico;Se manteve
2515807;Episódico;Episódico;Se manteve
2515906;Episódico;Episódico;Se manteve
2515930;Episódico/Epidêmico;Episódico;Melhorou
2515971;Episódico;Sem transmissão;Melhorou
2516003;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2516102;Episódico/Epidêmico;Episódico;Melhorou
2516151;Episódico;Episódico/Epidêmico;Piorou
2516201;Epidêmico;Epidêmico;Se manteve
2516300;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2516409;Episódico;Episódico;Se manteve
2516508;Episódico;Episódico/Epidêmico;Piorou
2516607;Episódico/Epidêmico;Episódico;Melhorou
2516706;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2516755;Episódico;Episódico/Epidêmico;Piorou
2516805;Episódico/Epidêmico;Episódico;Melhorou
2516904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2517001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2517100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2517209;Episódico/Epidêmico;Episódico;Melhorou
2517407;Episódico/Epidêmico;Episódico;Melhorou
2600054;Epidêmico;Episódico/Epidêmico;Melhorou
2600104;Epidêmico;Epidêmico;Se manteve
2600203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600302;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600401;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600500;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600609;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600708;Episódico/Epidêmico;Episódico;Melhorou
2600807;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2600906;Episódico;Episódico/Epidêmico;Piorou
2601003;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601052;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601201;Epidêmico;Epidêmico;Se manteve
2601300;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601508;Episódico;Episódico;Se manteve
2601607;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601706;Epidêmico;Epidêmico;Se manteve
2601805;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2601904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602308;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602407;Episódico;Episódico;Se manteve
2602506;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602605;Epidêmico;Epidêmico;Se manteve
2602704;Episódico/Epidêmico;Episódico;Melhorou
2602803;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2602902;Epidêmico;Epidêmico;Se manteve
2603009;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603108;Episódico/Epidêmico;Episódico;Melhorou
2603207;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603306;Episódico/Epidêmico;Episódico;Melhorou
2603405;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603454;Epidêmico;Epidêmico;Se manteve
2603504;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603603;Episódico;Episódico/Epidêmico;Piorou
2603702;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603801;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603900;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2603926;Episódico;Episódico/Epidêmico;Piorou
2604007;Epidêmico;Episódico/Epidêmico;Melhorou
2604106;Epidêmico;Epidêmico;Se manteve
2604155;Episódico/Epidêmico;Episódico;Melhorou
2604205;Episódico;Episódico;Se manteve
2604304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2604403;Episódico;Episódico/Epidêmico;Piorou
2604502;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2604601;Epidêmico;Episódico;Melhorou
2604700;Episódico/Epidêmico;Episódico;Melhorou
2604809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2604908;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605004;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605103;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605152;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605301;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605400;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605459;Epidêmico;Epidêmico;Se manteve
2605509;Episódico;Episódico/Epidêmico;Piorou
2605608;Episódico;Episódico;Se manteve
2605707;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2605806;Episódico/Epidêmico;Episódico;Melhorou
2605905;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2606002;Epidêmico;Epidêmico;Se manteve
2606101;Episódico/Epidêmico;Episódico;Melhorou
2606200;Epidêmico;Epidêmico;Se manteve
2606309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2606408;Epidêmico;Epidêmico;Se manteve
2606507;Episódico/Epidêmico;Episódico;Melhorou
2606606;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2606705;Episódico/Epidêmico;Episódico;Melhorou
2606804;Epidêmico;Epidêmico;Se manteve
2606903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607000;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607109;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607208;Epidêmico;Epidêmico;Se manteve
2607307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607406;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607505;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607653;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607703;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607752;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607802;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2607901;Epidêmico;Epidêmico;Se manteve
2607950;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608008;Epidêmico;Epidêmico;Se manteve
2608057;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608107;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608206;Episódico;Episódico;Se manteve
2608255;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608305;Episódico/Epidêmico;Episódico;Melhorou
2608404;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608453;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608503;Episódico/Epidêmico;Episódico;Melhorou
2608602;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608701;Episódico;Episódico/Epidêmico;Piorou
2608750;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608800;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2608909;Epidêmico;Epidêmico;Se manteve
2609006;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609154;Episódico;Episódico/Epidêmico;Piorou
2609204;Episódico;Episódico;Se manteve
2609303;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609402;Epidêmico;Episódico/Epidêmico;Melhorou
2609501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609600;Epidêmico;Epidêmico;Se manteve
2609709;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609808;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2609907;Epidêmico;Episódico/Epidêmico;Melhorou
2610004;Episódico/Epidêmico;Epidêmico;Piorou
2610103;Episódico;Episódico;Se manteve
2610202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2610301;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2610400;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2610509;Episódico/Epidêmico;Epidêmico;Piorou
2610608;Episódico/Epidêmico;Epidêmico;Piorou
2610707;Epidêmico;Epidêmico;Se manteve
2610806;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2610905;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2611002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2611101;Epidêmico;Epidêmico;Se manteve
2611200;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2611309;Episódico/Epidêmico;Episódico;Melhorou
2611408;Episódico/Epidêmico;Episódico;Melhorou
2611507;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2611533;Sem transmissão;Sem transmissão;Se manteve
2611606;Transmissão Persistente;Epidêmico;Melhorou
2611705;Episódico;Episódico;Se manteve
2611804;Episódico/Epidêmico;Episódico;Melhorou
2611903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612000;Episódico;Episódico/Epidêmico;Piorou
2612109;Episódico/Epidêmico;Episódico;Melhorou
2612208;Epidêmico;Epidêmico;Se manteve
2612307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612406;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612455;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612471;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612505;Epidêmico;Epidêmico;Se manteve
2612554;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612703;Episódico/Epidêmico;Episódico;Melhorou
2612802;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2612901;Episódico;Episódico;Se manteve
2613008;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613107;Episódico/Epidêmico;Epidêmico;Piorou
2613206;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613305;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613404;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613503;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613602;Epidêmico;Episódico/Epidêmico;Melhorou
2613701;Epidêmico;Epidêmico;Se manteve
2613800;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2613909;Epidêmico;Episódico/Epidêmico;Melhorou
2614006;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614204;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614303;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614402;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614501;Epidêmico;Episódico/Epidêmico;Melhorou
2614600;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614709;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2614808;Episódico/Epidêmico;Episódico;Melhorou
2614857;Episódico/Epidêmico;Episódico;Melhorou
2615003;Episódico/Epidêmico;Episódico;Melhorou
2615102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615201;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615300;Episódico/Epidêmico;Epidêmico;Piorou
2615409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615508;Episódico/Epidêmico;Episódico;Melhorou
2615607;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615706;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615805;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2615904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616183;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616308;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2616407;Epidêmico;Epidêmico;Se manteve
2616506;Episódico;Episódico/Epidêmico;Piorou
2700102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2700201;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2700300;Epidêmico;Epidêmico;Se manteve
2700409;Episódico/Epidêmico;Episódico;Melhorou
2700508;Episódico;Episódico;Se manteve
2700607;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2700706;Episódico;Episódico;Se manteve
2700805;Episódico;Episódico;Se manteve
2700904;Episódico;Episódico;Se manteve
2701001;Episódico/Epidêmico;Episódico;Melhorou
2701100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2701209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2701308;Episódico/Epidêmico;Episódico;Melhorou
2701357;Episódico/Epidêmico;Episódico;Melhorou
2701407;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2701506;Episódico;Episódico;Se manteve
2701605;Episódico/Epidêmico;Episódico;Melhorou
2701704;Episódico;Episódico/Epidêmico;Piorou
2701803;Episódico/Epidêmico;Episódico;Melhorou
2701902;Episódico;Episódico;Se manteve
2702009;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702108;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702207;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702306;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702355;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702405;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702504;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702553;Episódico;Episódico;Se manteve
2702603;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702702;Episódico;Episódico;Se manteve
2702801;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2702900;Epidêmico;Episódico/Epidêmico;Melhorou
2703007;Episódico;Episódico/Epidêmico;Piorou
2703106;Episódico/Epidêmico;Episódico;Melhorou
2703205;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2703304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2703403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2703502;Episódico/Epidêmico;Episódico;Melhorou
2703601;Episódico;Episódico/Epidêmico;Piorou
2703700;Episódico;Episódico;Se manteve
2703759;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2703809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2703908;Episódico;Episódico;Se manteve
2704005;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2704104;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2704203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2704302;Epidêmico;Epidêmico;Se manteve
2704401;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2704500;Epidêmico;Episódico/Epidêmico;Melhorou
2704609;Episódico/Epidêmico;Episódico;Melhorou
2704708;Epidêmico;Episódico/Epidêmico;Melhorou
2704807;Episódico/Epidêmico;Episódico;Melhorou
2704906;Sem transmissão;Episódico;Piorou
2705002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2705101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2705200;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2705309;Episódico;Episódico;Se manteve
2705408;Episódico/Epidêmico;Episódico;Melhorou
2705507;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2705606;Episódico;Episódico;Se manteve
2705705;Episódico/Epidêmico;Episódico;Melhorou
2705804;Episódico;Episódico;Se manteve
2705903;Episódico;Episódico;Se manteve
2706000;Episódico/Epidêmico;Episódico;Melhorou
2706109;Episódico;Episódico;Se manteve
2706208;Episódico;Episódico;Se manteve
2706307;Epidêmico;Episódico/Epidêmico;Melhorou
2706406;Episódico/Epidêmico;Episódico;Melhorou
2706422;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2706448;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2706505;Episódico;Episódico;Se manteve
2706604;Episódico;Episódico;Se manteve
2706703;Epidêmico;Episódico/Epidêmico;Melhorou
2706802;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2706901;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2707008;Episódico;Episódico;Se manteve
2707107;Episódico/Epidêmico;Episódico;Melhorou
2707206;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2707305;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2707404;Episódico;Episódico;Se manteve
2707503;Episódico;Episódico;Se manteve
2707602;Episódico;Episódico/Epidêmico;Piorou
2707701;Epidêmico;Episódico/Epidêmico;Melhorou
2707800;Episódico/Epidêmico;Episódico;Melhorou
2707909;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708006;Epidêmico;Episódico/Epidêmico;Melhorou
2708105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708204;Episódico;Episódico;Se manteve
2708303;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708402;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708600;Episódico/Epidêmico;Epidêmico;Piorou
2708709;Episódico/Epidêmico;Episódico;Melhorou
2708808;Epidêmico;Episódico/Epidêmico;Melhorou
2708907;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2708956;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2709004;Episódico;Episódico;Se manteve
2709103;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2709152;Epidêmico;Episódico/Epidêmico;Melhorou
2709202;Episódico;Episódico/Epidêmico;Piorou
2709301;Epidêmico;Epidêmico;Se manteve
2709400;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2800100;Sem transmissão;Sem transmissão;Se manteve
2800209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2800308;Epidêmico;Epidêmico;Se manteve
2800407;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2800506;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2800605;Epidêmico;Episódico/Epidêmico;Melhorou
2800670;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2800704;Episódico;Episódico;Se manteve
2801009;Episódico;Episódico/Epidêmico;Piorou
2801108;Episódico;Episódico;Se manteve
2801207;Episódico/Epidêmico;Episódico;Melhorou
2801306;Episódico;Episódico;Se manteve
2801405;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2801504;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2801603;Episódico;Episódico/Epidêmico;Piorou
2801702;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2801900;Episódico;Episódico;Se manteve
2802007;Episódico;Episódico;Se manteve
2802106;Epidêmico;Epidêmico;Se manteve
2802205;Sem transmissão;Episódico;Piorou
2802304;Episódico;Episódico;Se manteve
2802403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2802502;Episódico;Episódico;Se manteve
2802601;Episódico;Episódico;Se manteve
2802700;Episódico/Epidêmico;Episódico;Melhorou
2802809;Episódico;Episódico/Epidêmico;Piorou
2802908;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2803005;Epidêmico;Episódico/Epidêmico;Melhorou
2803104;Episódico;Sem transmissão;Melhorou
2803203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2803302;Sem transmissão;Episódico;Piorou
2803401;Episódico;Episódico;Se manteve
2803500;Episódico/Epidêmico;Epidêmico;Piorou
2803609;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2803708;Episódico;Episódico;Se manteve
2803807;Sem transmissão;Episódico;Piorou
2803906;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2804003;Episódico;Episódico;Se manteve
2804102;Episódico;Episódico/Epidêmico;Piorou
2804201;Episódico;Episódico/Epidêmico;Piorou
2804300;Episódico;Episódico/Epidêmico;Piorou
2804409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2804458;Episódico;Episódico;Se manteve
2804508;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2804607;Episódico;Episódico/Epidêmico;Piorou
2804706;Episódico/Epidêmico;Episódico;Melhorou
2804805;Epidêmico;Epidêmico;Se manteve
2804904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2805000;Episódico;Episódico;Se manteve
2805109;Episódico;Episódico;Se manteve
2805208;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2805307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2805406;Episódico;Episódico;Se manteve
2805505;Episódico/Epidêmico;Episódico;Melhorou
2805604;Episódico;Episódico/Epidêmico;Piorou
2805703;Episódico/Epidêmico;Epidêmico;Piorou
2805802;Episódico;Episódico;Se manteve
2805901;Episódico/Epidêmico;Episódico;Melhorou
2806008;Episódico;Episódico/Epidêmico;Piorou
2806107;Episódico;Episódico/Epidêmico;Piorou
2806206;Episódico;Episódico;Se manteve
2806305;Episódico;Episódico;Se manteve
2806404;Episódico;Episódico;Se manteve
2806503;Episódico;Episódico;Se manteve
2806602;Episódico;Episódico;Se manteve
2806701;Episódico/Epidêmico;Epidêmico;Piorou
2806800;Episódico;Episódico;Se manteve
2806909;Episódico;Episódico;Se manteve
2807006;Episódico;Episódico;Se manteve
2807105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2807204;Episódico;Episódico/Epidêmico;Piorou
2807303;Episódico;Episódico;Se manteve
2807402;Epidêmico;Episódico/Epidêmico;Melhorou
2807501;Episódico/Epidêmico;Episódico;Melhorou
2807600;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2900108;Episódico;Episódico;Se manteve
2900207;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2900306;Episódico/Epidêmico;Episódico;Melhorou
2900355;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2900405;Episódico;Episódico/Epidêmico;Piorou
2900504;Episódico;Episódico/Epidêmico;Piorou
2900603;Episódico;Episódico;Se manteve
2900702;Episódico/Epidêmico;Epidêmico;Piorou
2900801;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2900900;Episódico;Episódico;Se manteve
2901007;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901106;Episódico/Epidêmico;Episódico;Melhorou
2901155;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901205;Episódico;Episódico/Epidêmico;Piorou
2901304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901353;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901502;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901601;Episódico/Epidêmico;Episódico;Melhorou
2901700;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2901908;Episódico;Episódico;Se manteve
2901957;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2902005;Episódico/Epidêmico;Episódico;Melhorou
2902054;Episódico;Episódico;Se manteve
2902104;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
2902203;Sem transmissão;Episódico;Piorou
2902252;Episódico/Epidêmico;Episódico;Melhorou
2902302;Episódico;Episódico;Se manteve
2902401;Episódico;Episódico;Se manteve
2902500;Episódico;Episódico/Epidêmico;Piorou
2902609;Episódico/Epidêmico;Episódico;Melhorou
2902658;Episódico/Epidêmico;Episódico;Melhorou
2902708;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
