"Variavel","VIF_Ajustado"
"temp_med_Autumn",NA
"umid_med_Autumn",NA
"temp_med_Spring",NA
"umid_med_Spring",NA
"thr_temp_Summer",NA
"thr_umid_Summer",NA
"thr_temp_umid_Summer",NA
"temp_med_Winter",NA
"umid_med_Winter",NA
"thr_temp_Winter",NA
"thr_umid_Winter",NA
"thr_temp_umid_Winter",NA
