"Odds Ratio","IC 95% Lower","IC 95% Upper","p-valor"
1.88228349170749e-75,3.69500591545909e-94,2.12578118153074e-57,1.78488841150465e-15
0.0711277235065718,0.0292069318677353,0.168084111327339,3.10789671996276e-09
1.84595541970152,0.816270309140692,4.22166734831531,0.143275915249793
2.20777089638522,0.762728254499353,6.49158015633072,0.146700676876694
2.13809263587305,1.09391399343992,4.23682896815885,0.027545503043815
1.00007398364446,1.00006800105365,1.00008028712408,2.78631282978034e-123
3.84545204123007,2.52196238054568,5.94693915403399,7.28357610548275e-10
0.0550596752516957,0.0187589622963389,0.1576079110871,9.10115135258355e-08
1.51871939791571,0.731024872200823,3.27232753794803,0.272977965760014
0.395031799598804,0.23074217085936,0.665480553521818,0.000579329811380192
8.03004771667839e-12,4.3628488411917e-15,1.23459678752477e-09,0.928611621569099
0.0838233410117549,0.00514243609286516,0.993504576702083,0.0800948861210882
2.1039865251739,0.955306448453532,4.55983638015406,0.0616976274662576
1.83157459352734,0.972207792083729,3.42065687729812,0.0590162658363797
1.41564340747987,0.631166556003384,3.10143250712957,0.391486886725931
2.4079702384303,0.857624671157709,6.74685805764419,0.0948220068619988
2.20963193864208,1.02980491462669,4.69234514678931,0.0402180391358412
0.340836956548343,0.04909866238946,2.10197616268362,0.261965921161562
0.665347953800134,0.318758444756539,1.37048194618208,0.272973739855155
0.980507836081222,0.271536109343467,3.35477655931929,0.975473678711475
3.30508604269486,2.50112139746132,4.38717387793817,7.24551838669547e-17
0.885042349302367,0.850078304828647,0.92074235707828,2.02771896612456e-09
0.160533877657384,0.101157574394055,0.251679852544964,3.4147483853533e-15
1.32661782497979,1.08298550567989,1.6350573782402,0.00785684006249689
0.365567903252195,0.247821086681745,0.532302842384241,2.422432958407e-07
2.66053244850291,1.83458729238105,3.9086689384461,3.87405032556991e-07
1.0186119303172,1.00338826519543,1.03398445643536,0.0160388885741097
1.00607575041517,1.00352552926273,1.008630266198,2.85718503705858e-06
4.92474445661853,2.7689440611966,8.82834215923896,6.93583013547603e-08
1.02930871115439,1.00015645172617,1.05968926822623,0.0500018193711453
1.09512605654622,1.02602404968124,1.16951658359727,0.00647508804360834
